ReviewStatus,Entity,SuggestedType,Confidence,AddToEntityTypeOverrides,CorrectedType,CanonicalEntity,Notes
pending,floating disks,CONCEPT,1.0,,,,
pending,flour,CONCEPT,1.0,,,,
pending,fodder,CONCEPT,1.0,,,,
pending,food,CONCEPT,1.0,,,,
pending,food and drink,CONCEPT,1.0,,,,
pending,food and water,CONCEPT,1.0,,,,
pending,food grains,COMMODITY,1.0,,,,
pending,food in boxes and sacks,CONCEPT,1.0,,,,
pending,food supplies purchased from other populations,CONCEPT,1.0,,,,
pending,foodgrains,COMMODITY,0.8,,,,
pending,foot of the snows,CONCEPT,0.8,,,,
pending,forest boundary,LOCATION,0.8,,,,
pending,forest department,GROUP,0.8,,,,
pending,forest dues,CONCEPT,1.0,,,,
pending,"forest dues or keth-bans, and kath mahals",CONCEPT,1.0,,,,
pending,forest management,CONCEPT,1.0,,,,
pending,forest operations,LOCATION,0.8,,,,
pending,forest rights,CONCEPT,1.0,,,,
pending,forest-resources,LOCATION,0.8,,,,
pending,foresters,LOCATION,0.8,,,,
pending,forests,LOCATION,1.0,,,,
pending,fotu la,LOCATION,0.9484,,,,
pending,four camels from abdall,COMMODITY,1.0,,,,
pending,four horses,COMMODITY,1.0,,,,
pending,four orongo antelopes,CONCEPT,1.0,,,,
pending,fragile mountain ecologies,LOCATION,0.8,,,,
pending,frederic drew,PERSON,1.0,,,,
pending,freedom of action,CONCEPT,1.0,,,,
pending,fresh meat,COMMODITY,1.0,,,,
pending,fresh supplies of food,CONCEPT,1.0,,,,
pending,frozen ground,CONCEPT,1.0,,,,
pending,fuel,CONCEPT,1.0,,,,
pending,fumigation of juniper to buddhist divinities and tutelary spirits,CONCEPT,1.0,,,,
pending,gamsali,CONCEPT,0.8,,,,
pending,gangee forest division,LOCATION,0.8,,,,
pending,ganges,CONCEPT,1.0,,,,
pending,ganges division,CONCEPT,1.0,,,,
pending,gangotri,CONCEPT,1.0,,,,
pending,garhwal,LOCATION,1.0,,,,
pending,garhwal and china,LOCATION,0.8,,,,
pending,garhwal bhhbar,LOCATION,0.8,,,,
pending,garhwal district,LOCATION,1.0,,,,
pending,gaula river,LOCATION,0.8,,,,
pending,"geological specimens, skeletons of animals, botanical specimens, and archaeological finds",COMMODITY,1.0,,,,
pending,gh«sa-settlement,CONCEPT,1.0,,,,
pending,gilgit,LOCATION,1.0,,,,
pending,girthi river,LOCATION,0.8,,,,
pending,glens,CONCEPT,1.0,,,,
pending,goats,COMMODITY,1.0,,,,
pending,gold,CONCEPT,1.0,,,,
pending,golel'la raja,PERSON,1.0,,,,
pending,goloks,GROUP,1.0,,,,
pending,gomba,CONCEPT,1.0,,,,
pending,goods,COMMODITY,1.0,,,,
pending,goods imported and expo.rtoa,COMMODITY,0.8,,,,
pending,goose,COMMODITY,1.0,,,,
pending,gopal ji,CONCEPT,1.0,,,,
pending,gorkha dynasty,GROUP,1.0,,,,
pending,gorkha kings,CONCEPT,1.0,,,,
pending,gorkhas,GROUP,1.0,,,,
pending,gova,CONCEPT,1.0,,,,
pending,government,GROUP,1.0,,,,
pending,government factories,GROUP,1.0,,,,
pending,government of india,GROUP,1.0,,,,
pending,government of nepal,GROUP,1.0,,,,
pending,government order (lalmohar),GROUP,0.8,,,,
pending,government personnel,GROUP,0.8,,,,
pending,governor of nakk-chu,CONCEPT,1.0,,,,
pending,grain,COMMODITY,1.0,,,,
pending,grain and cloth,COMMODITY,1.0,,,,
pending,grain trade,CONCEPT,1.0,,,,
pending,"grain, salt, and borrr",COMMODITY,1.0,,,,
pending,grain-salt-rice circuit,CONCEPT,1.0,,,,
pending,grains,COMMODITY,1.0,,,,
pending,grass,CONCEPT,1.0,,,,
pending,grazing grounds high above the villages,LOCATION,1.0,,,,
pending,grazing lands,CONCEPT,1.0,,,,
pending,grazing rights,CONCEPT,1.0,,,,
pending,great glaciers,CONCEPT,1.0,,,,
pending,great trading families,CONCEPT,1.0,,,,
pending,guge,LOCATION,0.8,,,,
pending,gulab singh,PERSON,0.8,,,,
pending,guma,LOCATION,1.0,,,,
pending,gurkha government,GROUP,1.0,,,,
pending,gurkhalis,GROUP,1.0,,,,
pending,gurkhas of nepal,GROUP,0.8,,,,
pending,gwaldam,CONCEPT,1.0,,,,
pending,gyantse,CONCEPT,1.0,,,,
pending,gye-kun-do,CONCEPT,1.0,,,,
pending,hair,COMMODITY,1.0,,,,
pending,hamal thakuris,CONCEPT,1.0,,,,
pending,harak deb,CONCEPT,1.0,,,,
pending,harju valley,LOCATION,0.8,,,,
pending,hawalbag,CONCEPT,1.0,,,,
pending,hay,CONCEPT,1.0,,,,
pending,headquarters camp,CONCEPT,1.0,,,,
pending,hearth,CONCEPT,1.0,,,,
pending,her majesty's public works department in india,GROUP,0.8,,,,
pending,herdsmen,GROUP,1.0,,,,
pending,hhotias,CONCEPT,1.0,,,,
pending,high caste groups from the plains,LOCATION,0.8,,,,
pending,high official,PERSON,1.0,,,,
pending,highlanders,CONCEPT,1.0,,,,
pending,highlands,CONCEPT,1.0,,,,
pending,hill state,LOCATION,0.8,,,,
pending,hill states,LOCATION,0.8,,,,
pending,hill-men,GROUP,0.8,,,,
pending,himachal pradesh authorities,GROUP,0.8,,,,
pending,himalayan communities,GROUP,0.8,,,,
pending,himalayan farmers,GROUP,1.0,,,,
pending,himalayan hill states' regional council,GROUP,0.8,,,,
pending,himalayan hill states’ regional council,GROUP,0.8,,,,
pending,himalayan peoples,GROUP,0.8,,,,
pending,himalayan population,GROUP,0.8,,,,
pending,himalayan salt,COMMODITY,0.8,,,,
pending,himalayan society,GROUP,1.0,,,,
pending,himalayas,LOCATION,0.8,,,,
pending,hindu society,GROUP,1.0,,,,
pending,hindu villagers of jumla,GROUP,1.0,,,,
pending,hindu villages in middle-ranges,LOCATION,1.0,,,,
pending,hindustan-tibet road,LOCATION,0.8,,,,
pending,his majesty's government,GROUP,1.0,,,,
pending,hlajeh tsering,CONCEPT,1.0,,,,
pending,honey and milk products,COMMODITY,0.8,,,,
pending,horse,CONCEPT,1.0,,,,
pending,horses,COMMODITY,1.0,,,,
pending,house,CONCEPT,1.0,,,,
pending,households,CONCEPT,1.0,,,,
pending,humla,CONCEPT,1.0,,,,
pending,humla people,GROUP,1.0,,,,
pending,humlis,GROUP,1.0,,,,
pending,hundred and eighteenth from the founder of the dynasty,GROUP,0.8,,,,
pending,huniya,CONCEPT,1.0,,,,
pending,hunters,CONCEPT,1.0,,,,
pending,"hunza-nagar, ashkuman, ygsin, and ghizar",LOCATION,1.0,,,,
pending,i<amri,CONCEPT,1.0,,,,
pending,ihli river,LOCATION,0.8,,,,
pending,illveh-chimen,CONCEPT,0.8,,,,
pending,ilsnikhet,CONCEPT,1.0,,,,
pending,imperial russian railways,LOCATION,1.0,,,,
pending,imports from tibet,CONCEPT,1.0,,,,
pending,in an economy with a negligible market,CONCEPT,0.8,,,,
pending,in cash and kind,COMMODITY,0.8,,,,
pending,in leh,LOCATION,0.8,,,,
pending,in srinagar or leh,LOCATION,1.0,,,,
pending,india,LOCATION,1.0,,,,
pending,india and england,LOCATION,1.0,,,,
pending,indian forest act,LOCATION,0.8,,,,
pending,indian salt,COMMODITY,1.0,,,,
pending,indian states,LOCATION,0.8,,,,
pending,indian tea,COMMODITY,0.8,,,,
pending,indians,GROUP,1.0,,,,
pending,indus,CONCEPT,1.0,,,,
pending,indus river,LOCATION,0.8,,,,
pending,industrialization and economic development,CONCEPT,1.0,,,,
pending,inland customs department,GROUP,0.8,,,,
pending,inland lake or sea,LOCATION,1.0,,,,
pending,interest charges,CONCEPT,1.0,,,,
pending,iron,COMMODITY,1.0,,,,
pending,iron pots and pans,CONCEPT,1.0,,,,
pending,irrigation,CONCEPT,1.0,,,,
pending,irrigation channels,CONCEPT,1.0,,,,
pending,islam,CONCEPT,0.8,,,,
pending,islam bai,CONCEPT,1.0,,,,
pending,iyazir wazgrat of laddch,CONCEPT,1.0,,,,
pending,jagarkot,CONCEPT,1.0,,,,
pending,jammu,LOCATION,0.9977,,,,
pending,jammu and kashmir,LOCATION,0.8,,,,
pending,jammu state,LOCATION,0.8,,,,
pending,jammu town,LOCATION,1.0,,,,
pending,jan,CONCEPT,1.0,,,,
pending,jang bahadur rana,CONCEPT,1.0,,,,
pending,jansung district,LOCATION,1.0,,,,
pending,jhelum,LOCATION,0.9947,,,,
pending,jhelum valley road,LOCATION,0.8,,,,
pending,jhelum valley route,LOCATION,1.0,,,,
pending,joshimath,CONCEPT,1.0,,,,
pending,jumla,LOCATION,1.0,,,,
pending,jumla and bhot,LOCATION,1.0,,,,
pending,jumla and botechaur,LOCATION,1.0,,,,
pending,kali gandaki valley,LOCATION,1.0,,,,
pending,kalimpong,CONCEPT,1.0,,,,
pending,kalpet,CONCEPT,1.0,,,,
pending,kam,CONCEPT,1.0,,,,
pending,kamali zone,CONCEPT,1.0,,,,
pending,kamba bombo,CONCEPT,1.0,,,,
pending,kami,CONCEPT,1.0,,,,
pending,kamla hill fort,CONCEPT,1.0,,,,
pending,kangra,LOCATION,1.0,,,,
pending,kangra valley,LOCATION,1.0,,,,
pending,kara-koshun,CONCEPT,1.0,,,,
pending,karakoram,LOCATION,1.0,,,,
pending,karan people,GROUP,0.8,,,,
pending,karan traders,GROUP,0.8,,,,
pending,karaul,CONCEPT,1.0,,,,
pending,"karsog, the second most important place in suket",LOCATION,0.8,,,,
pending,kashgar,LOCATION,1.0,,,,
pending,kashmir,LOCATION,1.0,,,,
pending,kashmir state,LOCATION,1.0,,,,
pending,kashmir-tibet boundary,LOCATION,1.0,,,,
pending,kashmiri goat,LOCATION,0.8,,,,
pending,kashmiri shawl,LOCATION,1.0,,,,
pending,kashmiri shawl industry,LOCATION,0.8,,,,
pending,kashmiri subjects,GROUP,0.8,,,,
pending,kashmiris,GROUP,1.0,,,,
pending,kasim,CONCEPT,1.0,,,,
pending,kathmandu,CONCEPT,1.0,,,,
pending,kathmandu valley,LOCATION,1.0,,,,
pending,katyur valley,LOCATION,0.8,,,,
pending,kayir valley,LOCATION,0.8,,,,
pending,kazi amar singh thapa,PERSON,1.0,,,,
pending,kbshipur,CONCEPT,1.0,,,,
pending,keng-laika,CONCEPT,1.0,,,,
pending,khaltse,LOCATION,1.0,,,,
pending,kharnak,LOCATION,1.0,,,,
pending,kharnak territory,LOCATION,0.8,,,,
pending,kharta shika,CONCEPT,1.0,,,,
pending,khasiya,CONCEPT,1.0,,,,
pending,khodai kullu,LOCATION,1.0,,,,
pending,khodai vardi,CONCEPT,1.0,,,,
pending,khola charity,CONCEPT,1.0,,,,
pending,khorem,CONCEPT,1.0,,,,
pending,khumbu men,GROUP,0.8,,,,
pending,khumbu merchants,GROUP,1.0,,,,
pending,khumbu sherpas,CONCEPT,1.0,,,,
pending,khumbu traders,GROUP,0.8,,,,
pending,khumjung,CONCEPT,1.0,,,,
pending,khumjung people,GROUP,1.0,,,,
pending,khunigadh valley,LOCATION,0.8,,,,
pending,king of ladakh,PERSON,1.0,,,,
pending,king prithvimalla,PERSON,1.0,,,,
pending,kingdom of guge,LOCATION,1.0,,,,
pending,kingri-bingri pass,LOCATION,0.8,,,,
