Source,Relation,Target,Weight,Evidence,Confidence
lbu-lan,connects_to,country,1,Would any European pilgrim ever set foot within the walls of LBu-lan again ?,0.8
kara-koshun,connects_to,place,1,"taking with me Shagdur, Kutchuk, Khodai Kullu, and Khodai Vardi, my object being to make an exact levelling of the ancient basin of Lop-nor, cross the desert southwards to Kara-koshun.",0.9
faisullah,administers,caravan,1,"This detachment I put in charge of Faisullah, and gave him Li Loyeh and hlollah to assist him.",0.8
khodai vardi,connects_to,clay terrace,1,"He explained that it was the clay terrace which had forced him to deviate too far to the right, and he had been unable to hit upon our track again.",0.8
khodai vardi,regulates,camels,1,"It was a wonder that in the dark none of the camels broke their legs in crossing the deep, gaping hollows between the terraces.",0.7
shagdur,supplies,rice and ice,1,"Obtaining from Faisullah a small supply of rice and ice, Shagdur...",0.8
wild camels,migrates_through,desert,1,"It showed that those animals were in the habit of crossing the desert, and knew of the existence of the lakes farther south...",0.9
kara-koshun,regulates,water,1,"While the lake of Kara-koshun... was being filled up with mud, drift-sand, and decaying vegetation...",0.9
turdu bai,administers,camels,1,"Turdu Bai was the captain of the camels, and answerable for their condition.",0.8
caravan,supplies,maize,1,We gave them as much kamish and maize as they could eat...,0.8
dovlet caravan-bashi,trades_with,animals,1,"I arranged this business with an honest old fellow named Dovlet Caravan-bashi, from Bokhara, who did excellently well, though he made very little money out of the transaction...",0.9
islam bai,transports_via,"geological specimens, skeletons of animals, botanical specimens, and archaeological finds",1,"He was to take my collections to Kashgar, through Korla, Kuchar, and Aksu, as far as Korla by camels, and the rest of the way by arabas (Turkestan carts).",0.8
islam bai,supplies,animals,1,"He was to spend two months on the road, and I defrayed all the expenses of his journey, both for himself and the animals.",0.8
chernoff,governs,caravan,1,Chernoff was in supreme command of the caravan.,0.9
khalmet aksakal,exchanges_for,sugar and other commodities,1,"I had commissioned Khalmet Aksakal to buy sugar and other commodities, and send them to us.",0.8
islam,disputes,the truth about his account,1,"it struck me as being excessively high, and in spite of all Islam's explanations...",0.6
shagdur,transports_via,cossacks,1,"The Buriats, like true soldiers, had obeyed orders. They knew that they were never to do anything without written or verbal orders from myself...",0.5
islam bai,controls,the mussulmans,1,"But Islam was a big, strong fellow, and the Mussulmans stood in great awe of him.",0.9
islam,depends_on,my stores,1,"This last would of course be readily accomplished with the aid of my stores, so that it would seem to have been I who paid the piper, and not Islam.",0.8
islam,controls,his own lawful wife and five children,1,"In the first place, the lady had to be bought for ready money ; then she had to be dressed, and her taste for Chinese silks and so forth had to be gratified ; and, finally, she, and perhaps also her parents, had to be supported.",0.7
colonel saitseff,governs,the town of osh,1,"He was ordered to report himself to Colonel Saitseff at Osh, the town where, according to the Russian law, the sentence was to be pronounced.",0.9
russian authorities,licenses,islam,1,"The Russian authorities had promised to allow him the privilege of wearing a gold embroidered khalat, in honour of the services he had rendered t o me ; this, and all other dignities and honours, he had forfeited by his arrogance and folly.",0.8
russian law,regulates,islam's punishment,1,"As by his thefts he had offended against the Russian Criminal Code, and by his loose conduct transgressed against the Sheriet, or customary law of the Mohammedans, he was declared worthy of banishment to Siberia ; but his actual punishment was reduced to three months' imprisonment.",0.9
shagdur,trades_with,mongols,1,"The first place we camped at was called Yiggdelik-tokai, on the left bank of the Charkhlik-su.",0.8
border ranges,connects_to,kum-koll,1,BORDER RANGES TO THE KUM-KOLL.,0.95
shereb lama,depends_on,kum-koll,1,"He would then be like Hercules at the parting of the ways : on the one hand he could return to his quiet and peaceful cell in the monastery at Kara-shahr ; on the other hand, he would have to make up his mind to face many remarkable, if not perilous, experiences.",0.8
the cossacks,trades_with,the shepherds,1,"They rode to the mountaineers to buy from them fuel and milk, and a dozen or so of sheep.",0.85
the cossacks,trades_with,the district,1,"The district abounded in game and other animals-arkharis, ibexes, yaks, bears, and wolves.",0.8
sirkin,controls,'a line for controlling my itineraries',1,to measure ' a line for controlling my itineraries.,0.8
cossacks,trades_with,mohammedans,1,"ass-drivers, more like a band of banditti and tatterdemalions than anything else-the Lama, in his red robe, turning up, now here, now there, in different parts of the caravan, like a good-natured Puck-all these contributed to make up a varied and lively picture.",0.8
my place,connects_to,the procession,1,"My place was sometimes in the van, sometimes in the rear of the procession ; but my own special work, of which plotting the route was the most important, generally took up the greater part of my time.",0.8
lama,administers,caravan,1,"By this means our Lama earned a certain degree of popularity in the caravan, and piqued the Mussulmans' ambition.",0.9
the tibetan bear,depends_on,marmot,1,"But he had exercised great ingenuity in making his meal as palatable as possible ; for he had skinned the marmot down to its toe ends, rolled the skin up into a ball with the hair inside, and gulped it down whole.",0.8
camel,depends_on,flour,1,"Every evening we gave them a big dose of flour - in fact, we used up that important commodity at such a rate that our supply, which was originally calculated for ten months, was reduced to scarce sufficient for six.",0.85
camels,depends_on,fuel,1,"It was a long time since we had come across any fuel, and the wooden frames of the pack-saddles had been used up as fast as the camels died.",0.9
arka-tagh,connects_to,little freshwater pools,1,The little fresh-water pools close to the Arka-tagh remained frozen for the greater part of the year.,0.8
summer wind,regulates,temperature,1,"In fact, it was a warm current of air, a sort of fohn, which was sweeping across those lofty, icy uplands-a summer wind crossing the ice-bound lakes!",0.8
the caravan,trades_with,scanty grass,1,"The caravan animals were scattered over the hill-sides, eagerly plucking the scanty grass.",0.9
chernoff,administers,camels,1,"Then we picked out eleven camels, five of which had carried no loads during the last two or three days, and six horses, and left them to get a few days' rest...",0.8
tengri-nor,connects_to,lofty range,1,but we could scarcely expect to come across human beings before we reached the other side of the lofty range...,0.9
wild yak,depends_on,human beings,1,the wild yak we had just shot had clearly never been in contact with human beings ; otherwise he would never have allowed himself to be photographed at the cost of his own life.,0.8
tibetans,negotiates_with,kulans,1,...the Tibetans never meddle with kulans.,0.6
lassa,connects_to,holy land of the lamaists,1,"...we should find it warmer, and meet with better grass, and no doubt human inhabitants as well...Once on the other side of that gigantic natural wall, which it was very probable was of climatic importance, and we should find it warmer, and meet with better grass, and no doubt human inhabitants as well.",0.8
tibetans,governs,yaks,1,Tibetans with their yaks thus early !,0.8
cossacks,regulates,routes,1,"the Cossacks were under the impression that the Tibetans had at once set to work to collect their yaks and horses, with the intention of striking camp.",0.8
tibetans,controls,yaks and horses,1,"the Tibetans had at once set to work to collect their yaks and horses, with the intention of striking camp.",0.8
cossack,licenses,horses,1,"I gave him some money to buy horses with, in case the Tibetans should have any to sell...",0.8
cossack,supplies,tea and tobacco,1,"...also let him take some tea and tobacco for presents, to convince them that they had to do with people who meant them no ill.",0.8
cossacks,transports_via,main strength,1,"...it would be an obvious advantage to have our main strength advanced as far south as possible, so as not to be cut off from it by too great a distance...",0.8
tibetans,regulates,mountain-range,1,"The Lama, who was an intelligent fellow, observed quite correctly, that this stupendous mountain-range filled the same place in the Tibetans' regards that the Arka-tagh did in the case of the people of East Turkestan, in that it served as a frontier wall to shut out the unknown and the uninhabited, and formed a dividing line which was seldom crossed except by the yak hunters.",0.8
the gorge,connects_to,the road,1,"to my eyes, this looked an extremely hazardous sort of road, especially as the gorge narrowed rapidly.",0.9
chernoff's wretched camels,migrates_through,quagmires and sky-scraping passes,1,How on earth would Chernoff's wretched camels ever get through ?,0.9
the camels,depends_on,firm ground,1,"A little bit lower down I observed some grass on the right bank, and there too, Shagdur picked up a big earthenware vessel.",0.8
the poor beast,extracts_from,food and fuel,1,"I instructed two men to return to him with food and fuel, and to stay all night beside the camel...",0.7
sirkin,administers,meteorological observatory,1,"It was also Sirkin's business to take charge of the meteorological observatory, and this he carried through without a hitch.",0.9
sirkin,controls,chronometers,1,"These I left in charge of Sirkin, after instructing him to observe the utmost caution in winding them up.",0.9
our lama,depends_on,0rdek,1,"I decided to take 0rdek with US yet another day, for our Lama was really far from well.",0.8
our pilgrims,trades_with,animals,1,"While we three pilgrims crept into our tent, which we shared in brotherly fashion together, 0rdek kept an eye upon the animals.",0.8
we (pilgrims),migrates_through,hills and valleys,1,"Although the hills and valleys we passed on the way were scantily furnished with grass, yaks and kulans were remarkably numerous.",0.8
we (pilgrims),negotiates_with,nomad camp or mounted men,1,"Not that we were now anxious to shun them ; on the contrary, if we came across a nomad camp, or mounted men, we should first endeavour to get 0rdek away unperceived, so that he might return to Camp no. XLIV., and then, like the honest pilgrims we were, we should ride straight towards them.",0.8
we (pilgrims),supplies,animals,1,"We did not want to tire our animals too much, and it began to be time to think of stopping ; but it was no use looking for fresh water anywhere near the salt lake.",0.8
our pilgrims,regulates,lake,1,"Concentric rings of beaches and terraces round the shore showed, at a glance, that the lake was shrinking, and consequently must be salt.",0.8
ordek,depends_on,shagdur and others for protection,1,"He begged and prayed that he might go with us, and promised that he would keep better watch in future.",0.8
kulans,migrates_through,brook,1,"Whilst Shagdur and the Lama looked after the animals, and hoppled them, I gathered dry yak droppings in the skirt of my voluminous Mongol coat-and found it a very interesting occupation.",0.8
lama,negotiates_with,shagdur,1,When we camped it was his duty to issue all commands.,0.75
shagdur,regulates,party,1,"Shagdur played his part splendidly, and I think I may say I acted mine not amiss.",0.7
tibetans,trades_with,pass in the east,1,"Whilst I was asleep they had seen three Tibetans, who came over a pass in the east, and rode past our camp towards the north-west.",0.6
tibetan sheep-caravan,transports_via,small lakes,1,"...which had been up to the small lakes where our robber friends had paid their respects to us, to fetch salt...",0.85
the track,connects_to,the pass,1,"and from the top of the pass to which it led us, we again commanded a wide prospect to the south",0.8
she,connects_to,hillsides,1,"She was fresh and lively, and kept me dodging about the hillsides a long time before I succeeded in getting hold of her halter.",0.8
i,depends_on,packing up and reloading,1,"When I was awakened, after only a couple of hours sleep, on the morning of the 31st of July, to help with the packing up and reloading...",0.8
our little caravan,depends_on,daybreak,1,And so away we posted to the southeast across a difficult and heady rolling country. There was not now a single dry rag throughout the whole of our little caravan...,0.8
yaks,migrates_through,passes,1,"...and as the heavy rain soon blotted out all animals' footsteps, we concluded that the herd in question must have passed quite recently-maybe that very morning.",0.8
sampo singhi,supplies,argol (yak-dung),1,"The Lama brought a bagful of it with him ; and it was a good thing he did, for our own supply was so wet that we should hardly have been able to make a fire without it.",0.8
sampo singhi,exchanges_for,"information about merik, garchu-sanghi, and gom-jima",1,"The acquaintance made, and confidence established, our Lama succeeded in squeezing out of Sampo Singhi the information that the site of our camp of the previous day, between the two small lakes, was called Merik ; and a river which we had seen that day in the east was called Garchu-sanghi.",0.8
sampo singhi,trades_with,blue chinese cloth,1,"We had brought with us two bundles of this cloth expressively for purposes of barter, and Sampo Singhi complacently assured us he would be satisfied with one of these.",0.8
sampo singhi,exchanges_for,94 yards of blue chinese cloth,1,"Then began the usual Asiatic higgling and bargaining, which resulted in Sampo Singhi finally contenting himself with a third of a bundle--94 yards.",0.8
sachu-sangpo,connects_to,arms of the river,1,"The Sachu-sangpo, which had been previously crossed in this neighbourhood by M. Rockhill; but in consequence of the enormous rainfall it had swollen amazingly, and was divided into at least a score of arms, each of them big enough to make a respectable river.",0.8
the lama,trades_with,river,1,"Our Lama, who always led the way, rode straight into the water...",0.75
the river,supplies,water,1,"...it was a river; and as we stood on the brink, and saw it rolling its overwhelming masses west-south-west, we realized that our fate was sealed.",0.7
lama's mule,migrates_through,river,1,"The river churned and foamed around him as if he were a paddle-wheel. He merely hoisted his knees higher up on his saddle, and patted his mule as she sank deeper and deeper into the water.",0.85
the pilgrims from kum-bum,trades_with,tashi-lumpo,1,"They were carrying it [cube tea] from Kum-bum, in the west of the Chinese province of Kan-su, to Tashi-lumpo, on the Brahmaputra.",0.8
the caravan,trades_with,tashi-lumpo,1,"They were carrying it [cube tea] from Kum-bum, in the west of the Chinese province of Kan-su, to Tashi-lumpo, on the Brahmaputra.",0.8
yollbars and malenki,controls,fierce dogs,1,"A troop of fierce dogs, which came rushing to meet us, were received by Yollbars and Malenki in a fashion which inspired even their owners with respect.",0.9
tanguts,trades_with,tea,1,"They were on their way to ... the bazaars of Shigatse, where they would sell their tea.",0.8
the tibetans,trades_with,the nomads,1,"As we advanced the track grew broader and more distinctly marked ; but it was a remarkable fact that we never met any person travelling alone, either on horseback or on foot.",0.8
lama,governs,nakkchu,1,"The old man, who wore an air of great respectability and showed some knowledge of the world, replied, with disconcerting firmness, 'You will stop here three or four, or at the most, five days. This morning we sent messengers to the chief of Nakkchu, to ask whether we are to let you go on or not.'",0.8
tibetans,disputes,us,1,"Their object clearly was to inspire us with a proper degree of respect ; and in this surmise we were shortly afterwards confirmed, when they dis-mounted and began to shoot with their long black muskets.",0.8
tibetans,controls,headquarters camp,1,"At this I was seriously alarmed, and feared they meant to make an attack upon our headquarters camp whilst we were separated from it, and I felt strongly urged to turn back and go to my men's assistance.",0.8
chief,licenses,nomads,1,"They brought with them fat and sour milk, and explained that they were forbidden by their chief to receive anything in recompense.",0.8
lama,regulates,travel,1,"Our Lama thought to get out of the difficulty by explaining that we had travelled in company with a big caravan from Lop-nor, and that we intended continuing to Lassa.",0.8
governor of nakk-chu,governs,travel,1,"The man answered, 'You must first obtain permission of the Governor of Nakk-chu.'",0.8
the tibetans,controls,the nomad tents,1,Then they asked us whether our big camp was sufficiently near to the nomad tents,0.8
kamba bombo,regulates,the caravan of mongol pilgrims,1,"He had a lively recollection of Kamba Bombo of Nakkchu, and of the thorough way in which he had searched the caravan of Mongol pilgrims with which our Lama formerly travelled to Lam.",0.7
the tibetans,governs,the country,1,"The people of the country would not allow us to go where we wanted to go, and yet they were anxious to get rid of us at all costs.",0.6
mongol lama,trades_with,salt,1,,0.8
kamba bombo,governs,nakkchu province,1,"He was the ruler of Nakkchu-the province is also called Nag-tshu, and stretches beside the river of the same name, i.e., the Upper Salwin-and it was his duty to examine all caravans, and scrutinise all travelers, pilgrims, and wayfarers who approached Lassa from Tsaidam by the great highway over the pass of Tang-la.",0.95
kamba bombo,controls,his own province,1,"At first Kamba Bombo equivocated, and said he could not be answerable for what happened outside the boundaries of his own province.",0.9
lassa authorities,governs,tibetans,1,"the Lassa authorities had heard of the events which had recently occurred in China, and knew what stem vengeance had been exacted for the murder of Baron von Ketteler at Peking, and so considered it prudent not to injure a European.",0.8
kamba bombo,negotiates_with,dalai lama,1,"he himself received orders every day direct from Lassa with regard to us, and for a man in his position it would be unseemly to offer advice to the Dalai Lama ; it might lead to his dismissal, if not worse.",0.7
tibetans,supplies,rosaries,1,"They carried their swords in handsome silver-mounted scabbards, decorated with corals and turquoises ; silver gavcs or cases for burkkns, that is, little images of Buddha ; bracelets and rosaries ; and in the long plaits of their hair, various parti-coloured ornaments-in a word, they were decked out in the handsomest finery they possessed.",0.9
kamba bombo,controls,two horses,1,"Two horses were now led forward, a dun one and a white one ; these Kamba Rombo expressed himself as willing to present to me.",0.8
kamba bombo,exchanges_for,"tea, tsamba, and tobacco",1,"Kamba Bombo sat for a good while, and ate raisins as a horse eats oats, and was entertained with tea, tsamba, and tobacco.",0.8
kamba rombo,administers,staff,1,"We were surrounded by the whole of his staff, who made a fine show in their fantastic attire, their women's hats and long plumes mingling peacefully with their warlike lances and swords.",0.8
kamba bombo,exchanges_for,tibetan silver money,1,We then exchanged some of our Chinese yambas for Tibetan silver money.,0.95
tibetans,supplies,baggage animals,1,"The Tibetans had promised to be answerable for our belongings, and sure enough they brought them up without grumbling.",0.9
tibetans,trades_with,tea-caravan,1,"Every horse had a jingling bell round its neck, and the monotonous tinkle, tinkle had a very drowsy effect upon me.",0.8
tibetans,trades_with,lzang (about ;68 6s),1,"For a sword in a silver mounted scabbard, studded with turquoises and coral, they demanded 50 lzang (about ;68 6s.)",0.8
tibetans,exchanges_for,tea and raisins,1,"That afternoon Solang Undy, Anna Tsering, and an old man Dakkyeh paid their first visit to our tent, and feasted upon tea and raisins.",0.8
tibetans,supplies,mass (with powdered cheese),1,"Some of them used to knead the mass with their right hand, and add powdered cheese to the concoction.",0.8
tibetans,trades_with,"cloth, chinese porcelain cups, and knives",1,"Cloth, Chinese porcelain cups, and knives were the most advantageous commodities for barter in that part of the world.",0.8
tibetans,supplies,two sheep,1,"The Tibetans also offered to give us all their surviving sheep ; but we only accepted two, they would merely have been a hindrance to us during the forced and hurried marches we intended to make after our escort left us.",0.7
jangdang,governs,gong-gakk,1,"With regard to the political and administrative relations of that part of Tibet, I was unable to obtain any very precise information ; very probably they are not definitely fixed. I was told that the chief Jangdang was independent of both states.",0.8
our animals,depends_on,water and grazing,1,"We stopped about an hour before sunset beside a fresh-water spring that bubbled up in a meadow, so as to give our horses an opportunity to graze before dark.",0.7
tibetan horsemen,controls,horses,1,"All our firearms were loaded and ready for use, and our dogs tied up close beside the horses.",0.9
lama,disputes,tibetans,1,"for the main camp was, he thought, very likely invested by the Tibetans.",0.85
watercourses,connects_to,salt lake,1,All the watercourses were alike directed towards a little salt lake in the west-south-west.,0.9
sirkin and turdu bai,trades_with,day's sport,1,They almost wept with joy at the success of their day's sport ; when they started out in the morning they little dreamt what 'bag' they would make before night.,0.8
"kutchuk, ~ r d e k, and khodai kullu",trades_with,us,1,"with tears in their eyes, and crying 'Khodai sakkladi ! (God has preserved you !) Khodai shukkur !'",0.8
chernoff,supplies,nine camels,1,he brought nine camels with him ; he had only lost two camels and two of the horses.,0.8
tibetans,connects_to,jansung district,1,They said the district was called Jansung...,0.8
shepherds,supplies,sheep,1,"At intervals there were big flocks of sheep with their shepherds, but no dogs ; these were all kept beside the tents.",0.9
ordek,connects_to,river,1,0rdek took off his clothes and waded through the river...,0.8
tibetans,governs,district,1,The chief of the district turned up with a band of soldiers...,0.9
chernoff,depends_on,the ravine,1,it was difficult and even dangerous for Chernoff to ride across ; its bottom consisted of extremely soft mud.,0.8
chernoff,administers,the caravan,1,"enjoined Chernoff, who was head-man of the caravan...",0.9
kashgar,connects_to,the steppes of the 'black cap',1,"...accompanied me on several of my desert journeys, from Kashgar...",0.8
tibetans,depends_on,fresh supplies of food,1,"They had clearly been to fetch fresh supplies of food, and to equip themselves for a longer campaign.",0.9
tibetans,supplies,pack-horses,1,They were leading after them a large number of pack-horses.,0.8
tibetans,controls,river,1,"...they threw stones at it just after it had swallowed a fish, and so forced it to disgorge.",0.6
kalpet,depends_on,water,1,"but as we had none near at hand, we offered him milk, and let him drink all he wanted.",0.9
kamba bombo,controls,men,1,and their language was now precisely the same as Kamba Bombo had used.,0.0
russian men,trades_with,tibet,1,A large number of camels and other men were also on the road.,0.8
european men,trades_with,nakkchu,1,"The governor of Nakkchu has communicated the said instructions to the governor of Namru, and let writings be sent with haste to Namru and Nakktsong.",0.8
the governor of nakkchu,regulates,russian men's travel,1,Watch the frontiers of Nakktsong. It is necessary to watch the country closely bit by bit.*,0.8
tibetans,controls,caravan,1,"I left orders with the caravan to stay where they were that day, and on the following morning to proceed to the west side of the lake...",0.9
the lake,connects_to,the southern shore,1,By this we were only about half a mile from the southern shore ;,0.8
cherdon,supplies,food,1,"we were well supplied with food in the shape of a whole roast goose, and two or three cakes of bread",0.8
the peninsula,connects_to,the mainland,1,"it was a peninsula we had rowed round, and its only connection with the mainland was the narrow isthmus across which we carried our boat.",0.8
caravan,trades_with,provisions,1,they refused to supply them with provisions,0.8
tibetans,controls,camp,1,most of the latter were encamped round a fire in the open air,0.8
cossacks,governs,military salute,1,the Cossacks receiving me as usual with a military salute,0.8
hlajeh tsering,negotiates_with,cossacks,1,"Hlajeh Tsering went to the Cossacks, and asked them what had become of me",0.8
tibetans,regulates,caravan,1,they forbade the nomads who dwelt along its southern shore to render us any assistance,0.8
tibetans,governs,land of the burkhans,1,"Their policy of isolation during the last half century or so has not been dictated by religious, but by political motives.",0.9
tibetans,regulates,european strangers,1,"Their tactics, peaceful, but so far successful, have aimed at guarding their frontiers against Europeans, and conducting their unbidden guests politely, but firmly, out of the country.",0.9
tibetans,controls,land of the burkhans,1,"The Land of the Burkhans, the southern part of the Land of the Holy Books, is taboo to Europeans ; it is the patrimony of the Dalai Lama, a sacred land, his own peculiar property.",0.8
