Source,Relation,Target,Weight,Evidence,Confidence
india,supplies,salt,2,"Since the development of big salt works in Saurashtra, imports from foreign countries or Aden have ceased altogether and all salt supplied to Calcutta is of Indian origin. | 70—75% of the salt producing centres are on the sea coast.",0.85
government of india,regulates,salt production,2,"The Government of India accepted the views of the Central Board of Revenue, and the matter was not referred to the Tariff Board. | Salt Industry — ^Assam Bombay Cochin Rajasthan Saurashtra Travancore ...",0.8
the commissioner,licenses,the book,1,He kindly permitted me to use his office library and forwarded the book to Government and recommended its adoption as an official publication.,0.8
salt department,administers,salt industry,1,"details of the steps taken to make up the deficiency in salt caused by the loss of important salt sources as a result of the partition, addition of Zonal Scheme for distribution of salt...",0.85
rajputana,administers,salt industry,1,Salt Industry in Various States CHAPTER VI,0.8
salt administration,regulates,salt manufacturing rights,1,"C, Manufacturing Rights . , ^ ^",0.8
tariff board report,regulates,"salt (additional import duty) act, 1931",1,"Steps taken by Government ... Salt (Additional Import Duty) Act, 1931",0.8
salt,supplies,life of man and higher animals,1,-Owing to this property it is an absolute necessity to the life of man and the -higher animals.,0.95
salt,supplies,preservatives,1,Salt is used as a preservative for making up deficiency of certain ingredients in human metabolism.,0.8
cattle,depends_on,salt,1,A liberal use of salt for cattle saves them from disease and improves their constitution.,0.8
india,taxes,salt,1,Many civilised States derive a handsome income from duty on salt.,0.8
states,taxes,salt,1,Many civilised States derive a handsome income from duty on salt.,0.8
salt,supplies,medicine,1,Salt finds many important uses in medicine as well,0.7
salt,exchanges_for,duty,1,Many civilised States derive a handsome income from duty on salt.,0.8
water,regulates,temperature,1,"As the temperature rises, it gets dissolved again.",0.9
sambhar lake,supplies,brine,1,The supply of brine from the lake is supplemented by sub-soil brine tapped from percolation canals situated on the edge of the lake.,0.9
indian salt industry,depends_on,"rock salt mines, salt lakes, salt efflorescence, ferine springs and sea brine",1,"India has enormous quantities of salt, in the form of rock salt mines, salt lakes, salt efflorescence, ferine springs and sea brine.",0.8
mulleer river,connects_to,salt deposits,1,"It is found in the Mulleer river, and is met with along the entire coast, in greater or less quantity;",0.9
government (of madras),monopolizes,salt,1,This -salt was consumed by the poorer classes. The Government salt monopoly was created in 1805.,0.8
bengal,depends_on,foreign sources,1,"it appears that till the early years of the 19th century, Bengal had not to depend on foreign sources for meeting her domestic requirements.",0.9
india,regulates,salt imports into bengal,1,"The additional duty was subsequently abolished on the 1st May, 1938 in India.",0.8
bengal,regulates,salt manufacture,1,"The reason is that unlike the eastern rivers, the rivers in the western Sunderbans practically get no flow from the Ganges or from any of its tributaries.",0.8
forest department,supplies,fuel,1,supply of fuel might be organised to the advantage of the salt boilers through an understanding and sympathetic policy on the part of the Forest Department.,0.9
calcutta,connects_to,"pichabani linked with the orissa canal, then hijili tidal canal and lastly with the hooghly river",1,"by boats plying along the Pichabani linked with the Orissa canal, then Hijili Tidal canal and lastly with the Hooghly river.",0.8
bengal market,supplies,salt,1,"Salt; is now supplied Bengal market from Saurashtra Ports, such as Jamnaiar, Porl3andar, Navalakhi, Bhavnagar, etcj and Tuticorin.",0.8
saurashtra ports,connects_to,bengal market,1,"Salt; is now supplied Bengal market from Saurashtra Ports, such as Jamnaiar, Porl3andar, Navalakhi, Bhavnagar, etcj and Tuticorin.",0.8
aden,connects_to,calcutta market,1,During recent years the quantities coming to the Calcutta market have been about 17 Lakh maunds per annumf Salt was imported all the year 'round.,0.8
british india steani navigation company's coastal vessels,transports_via,salt,1,"Part cargoes from Indian ports were carried by the British India Steani Navigation Company’s coastal vessels, while tramp steamers called in at Aden and the Western India Ports.",0.8
tramp steamers,transports_via,salt,1,"Part cargoes from Indian ports were carried by the British India Steani Navigation Company’s coastal vessels, while tramp steamers called in at Aden and the Western India Ports.",0.8
government,administers,inland bonded warehouses,1,The bonding system was one of the various facilities offered by Government for the distribution of salt...,0.9
calcutta,supplies,"assam, north bihar, south bihar, west bengal, manipur, tripura, nepal and bhuttan",1,"Calcutta supplies several areas, such as, Assam, North Bihar, South Bihar, West Bengal, Manipur, Tripura, Nepal and Bhuttan.",0.8
salkia golahs,controls,storage of salt,1,"The Salkia Golahs were declared public warehouses for the storage of salt, under Bengal Government Notification No.",0.9
golahs,regulates,rent,1,"The rent is moderate in comparison with similar accommodation either in Howrah or . in Calcutta. The work of handling salt for the purpose of export and import is now in the hands of an approved contractor, at present Messrs.",0.8
golahs,governs,storage and handling of salt,1,"All charges are recovered direct from bonders and merchants and the department is saved all the work, worry and accounting that would otherwise result.",0.9
government,administers,salkia salt golahs,1,"The Golahs are under the charge of one Superintendent of Salt who is assisted in his work by two Inspectors, one clerk and some Workshop staff.",0.9
preventive officers,administers,salt golahs in bengal,1,"Up to April, 1947, the salt golahs in Bengal other than the inland bonded warehouses were administered by the Central Board of Revenue through the Collector of Customs,",0.9
board of revenue,controls,salt department,1,In the times of the East India Company the Board of Revenue controlled the Salt Department.,0.8
government of bengal,administers,salt golahs in bengal,1,"The separate province of Bihar and Orissa was created in 1912. At that time the Commissioner of Salt and Excise, Bihar, took over charge of the preventive operation in the three saliferous districts of Cuttack, Puri and Balasore.",0.7
salt controller,administers,salt department,1,"On the abolition of duty on salt, a separate Salt Department was organised early in 1948 with the Salt Controller (now Salt Commissioner) at the head and Regional Officers at Bombay, Madras, Sambhar Lake and Calcutta.",0.8
peshwas,controls,500 salt works,1,"More than '500 salt works existed, along the west coast: and, the Peshwas derived substantial revenue from this industry.",0.8
government,regulates,manufacture and trade in salt,1,"Earlier in 1853, agreements were entered into with the Chiefs of Kathiawar for the regulation of manufacture and the trade in salt.",0.8
haks,administers,revenue collection on behalf of the rulers,1,"During pre-British rule, hereditary rights were given to certain families to receive a certain share in the revenue in consideration of services rendered by them...",0.9
government,administers,salt manufacture,1,Salt is manufactured by Agarias residing-at Kharaghoda and surrounding Milages on Government account.,0.9
brine,exchanges_for,salt,1,The brine of 23° to 24° Be' let into the pans is allowed to rise up to 26° Be' when fresh brine is charged to maintain the density between 25° and 26° Be'.,0.9
agarias,licenses,licences annually and are bound by the conditions of the license.,1,The agarias- are given licenses annually and are bound by the conditions of the license.,0.8
government,regulates,cost of production,1,"They have also decided to take into account, for the purpose of commercial accounts, 1/4th of the cost at headquarters establishment and 1/6th of the Regional office.",0.9
u.,administers,kharaghoda treasury,1,(2) by direct payment at the Kharaghoda treasury;,0.8
bombay state,supplies,12 lakh maunds of salt,1,According to the 1955 Zonal Scheme Bombay State is expected to receive 12 lakh maunds...,0.8
uttar pradesh,supplies,44 lakh maunds of salt,1,"According to the 1955 Zonal Scheme Uttar Pradesh 44 lakh maunds, South Bihar 1 lakh maunds...",0.8
south bihar,supplies,1 lakh maunds of salt,1,"According to the 1955 Zonal Scheme Uttar Pradesh 44 lakh maunds, South Bihar 1 lakh maunds...",0.8
jammu and kashmir,supplies,5 lakh maunds of salt,1,"According to the 1955 Zonal Scheme Bombay State is expected to receive 12 lakh maunds, Uttar Pradesh 44 lakh maunds...",0.8
madhya bharat,supplies,5 lakh maunds of salt,1,"According to the 1955 Zonal Scheme Bombay State is expected to receive 12 lakh maunds, Uttar Pradesh 44 lakh maunds...",0.8
rajasthan,supplies,2.5 lakh maunds of salt,1,"According to the 1955 Zonal Scheme Bombay State is expected to receive 12 lakh maunds, Uttar Pradesh 44 lakh maunds...",0.8
bhopal,supplies,1-7 lakh maunds of salt,1,"According to the 1955 Zonal Scheme Bombay State is expected to receive 12 lakh maunds, Uttar Pradesh 44 lakh maunds...",0.8
vindhya pradesh,supplies,4-6 lakh maunds of salt,1,"According to the 1955 Zonal Scheme Bombay State is expected to receive 12 lakh maunds, Uttar Pradesh 44 lakh maunds...",0.8
nepal,supplies,1-5 lakh maunds of salt,1,"According to the 1955 Zonal Scheme Bombay State is expected to receive 12 lakh maunds, Uttar Pradesh 44 lakh maunds...",0.8
military,supplies,-6 lakh maunds of salt,1,"According to the 1955 Zonal Scheme Bombay State is expected to receive 12 lakh maunds, Uttar Pradesh 44 lakh maunds...",0.8
kharaghoda salt works,depends_on,brine supply,1,"For sometime past, the Kharaglioda works have been experiencing difficulty regarding the supply of brine in the wells as its supply is gradually decreasing.",0.8
the company,controls,security for the due payment of royalty,1,"The Company has to deposit security for the due payment of royalty of an amount not exceeding Rs. 5,000 or such amount as may be required by the President;",0.9
the company,regulates,royalty book containing all the particulars necessary for the calculation of royalty,1,The Company has to maintain a Royalty book containing all the particulars necessary for the calculation of Royalty;,0.8
the government,licenses,the company's factory at kharaghoda,1,The Company has to remodel its factory at Kharaghoda according to the phased programme of implementations submitted by the Company subject to certain conditions;,0.7
the government,taxes,royalty on all the above products,1,"Up to 1951, the royalty on all the above products was recovered at Re, 1/- per ton and the average revenue to Government was about Rs. 3,000 to Rs.",0.6
the company,trades_with,roads and railway lines of the salt department at kharaghoda,1,"In return, the Company has been allowed to use roads and railway lines of the Salt Department at Kharaghoda for the purpose of manufacture of bye-products and removal of bitterns.",0.5
government,governs,salt works in gujerat,1,"Throughout Gujerat, there therefore, the salt works and the salt itself when manufactured belonged to Government.",0.9
government,licenses,co-operative society of villagers,1,A Co-operative Society of villagers has also been licensed for purposes of sale of the spontaneous salt at the Dandi Sea Ford...,0.9
reservoir,connects_to,condensers,1,Also the reservoir has to be located on the landward which is on a slightly higher level so that the brine may flow by gravity first to the condensers...,0.8
reservoir,connects_to,crystal-lisers,1,The proportion of the area of reservoir to condenser is generally 3:1 and that of condenser and the crystallising beds is 1:1...,0.8
salt works,depends_on,proper ratio between crystallisers and condensers,1,"The ratio of condensing to the crystallising areas in most of the salt works being 1:1 or 2:1, brine of lower density is let into crystallisets with the result that calcium sulphate separates out before salt precipitates.",0.8
government of india,controls,quality of salt manufactured by small scale concessionaires,1,The Government of India have recently announced their decision of exercising similar control on the quality of salt manufactured even by small scale concessionaires operating in areas less than 10 acres each.,0.95
bombay state,administers,salt works,1,"The sea salt works in the Bombay State number about 401 and the area under salt cultivation is over 17,000 acres.",0.8
bombay salt merchants and shilotries association,controls,salt production,1,it is also to a certain extent controlled by the Bombay Salt Merchants and Shilotries Association by fixing the date for the commencement of the season...,0.8
salt duty,regulates,salt sales and issues,1,"When Salt Duty was in existence, the purchaser paid the duty in cash at the taluka office under the Sai^ar Kun or in the office of the Chief Accounts Officer in Bombay or in an authorised treasury.",0.9
bombay salt,supplies,large area,1,Bombay salt is consumed over a large area.,0.8
bombay,supplies,salt,1,"The manufacturers wish to clear their old salt before the new salt comes on the platform as once the new salt comes, there is no demand for the old salt.",0.8
bombay sea salt works,trades_with,calcutta,1,Salt used to be transported from Bombay sea salt works to Calcutta towards the end of the fair season in steamers which were late for the cotton trade from Bombay to Liverpool.,0.8
government,regulates,transport of bombay salt to calcutta,1,The question of transport of Bombay salt to Calcutta has engaged the attention of Government for a long time.,0.7
"collector of customs, bombay",licenses,vessels transporting salt,1,Restrictions were laid down with regard to the tonnages' of vessels transporting salt to guard against smuggling.,0.8
thana mithagar kamgar sangh,negotiates_with,"salt workers at mira road, bhayandar and bassein road",1,"The first Union was formed in 1943 with a membership of 700 workers. It extended its activities so as to include salt workers at Mira Road, Bhayandar and Bassein Road.",0.9
east india company,controls,salt manufacturing on coromandel coast,1,"In 1802, the East India Company reserved to itself the exclusive right of manufacturing salt on the Coromandel Coast...",0.8
madras monopoly system,disputes,exports of foreign salt,1,"The exporters of the foreign salt, however, raised an agitation against the Madras Monopoly System as they considered this hindered the imports of that salt in Madras Presidency",0.9
government,administers,factory,1,"Government has a staff in the factory to exercise control, over the process of manufacture...",0.8
central government,regulates,salt manufacturing,1,"Where the Central Government owns the land, the right to manufacture salt in the same is freely assigned or sold by public auction or settled by calling open tenders, for a period of 25 years.",0.9
licensees,depends_on,government reserve,1,"Instead of purchasing out-right the quantity reserved by the licensees for sale to the Government, the licensees were required to reserve only a percentage not exceeding 50% of their production for sale to Government...",0.8
factories,connects_to,land tenure,1,Many of the factories are old where the right to manufacture salt is hereditary and the manufacturers own the pans themselves.,0.7
government,governs,salt manufacturing,1,The allottee is issued a license to manufacture salt under the Modified Excise System and the lease concluded.,0.8
government,controls,salt pans,1,"The pans of such of the licensees, who do not work their pans for two consecutive seasons will be resumed by Government and the right to manufacture salt is either to be conferred on the adjacent pan-holders or put up to auction.",0.9
government,regulates,cess,1,"Section 37 of the Central Excise and Salt Act, levy of this Cess was regularised by the Government by passing an act in the Parliament, called the Salt Cess , Act, 1953*",0.8
central government,administers,salt organization maintained by the central government,1,meeting the expenditure incurred in connection with the salt organization maintained by the Central Government,0.8
agricultural class,depends_on,salt manufacture,1,"The principal vocation of the agricultural class here is salt manufacture and except this area, manufacture of salt in Madras Region is in a large measure subsidiary to agriculture.",0.9
supply channels,connects_to,pans,1,From the supply channels required quantity of brine is distributed through a net-work of small irrigation channels covering the whole area of the pans.,0.9
condenser,controls,brine,1,The supply of brine to the condensing areas is controlled by sluices in many instances...,0.9
mettur chemicals ltd.,licenses,salt works,1,They have taken pains to relay their works on modern lines in order to produce salt of good quality...,0.9
brine,supplies,factories,1,The supply of brine gets depleted in some of the factories...,0.8
salt,extracts_from,crystallising beds,1,Sometimes salt is also washed in baskets in the crystallising beds to remove impurities from it before it is taken to the drying ground.,0.9
factory officer,administers,storage of heaps,1,"The Factory Officer after the receipt of the storage petition from the licensee, verifies the heaps and makes necessary entries in the office-records.",0.9
government,controls,madras salt depot,1,The Madras Salt Depot situated on the Buckingham Canal in the northern part of the city at Tondiarpet which was the storage ground for all salt of the Ennore factories was closed in 1936.,0.8
government,regulates,salt extraction from factories in madras,1,The procedure for the removal of salt from the factories in Madras Region has been described in detail in the Madras Salt Manual and the same is at present in force.,0.85
government,regulates,salt prices,1,The price of salt should be kept as low as possible in the interests of the public; the preliminary object of Government stocks is to control the prices charged by the trade;,0.9
government,regulates,salt prices in madras salt works,1,The policy of the Government is to keep the price as low as possible and Government stocks are kept with this object.,0.9
salt,supplies,consumer,1,Salt can be made available to the consumer at a cheaper rate.,0.8
railway authorities,regulates,freight rates,1,The special rates granted earlier by the Railway authorities from station to station have been withdrawn.,0.9
madras government,governs,salt production and sale in madras,1,The Madras Government by their notification issued in Gazette Extraordinary No.1908 dated 10-12-52 prohibiting the sale of salt by measure with effect from 1-1-53.,0.9
madras,supplies,orissa,1,The issues to Orissa show a marked increase since 1927-28 and this is due to the enterprise shown by the capitalist licensees at Ganjam and Naupada during the previous years.,0.8
watch and ward staff,depends_on,revenue function of the department,1,"Now that the Revenue function of the Department has gone, there has been drastic reduction of Watch and Ward Staff in all the factories.",0.8
preventive force,administers,offenders,1,The offenders used to be sent up by the preventive parties before the Inspectors (now designated as Superintendents) who after holding preliminary investigations used to challan the accused for trial before a Magistrate.,0.9
licensed manufacturers,supplies,salt,1,Salt produced in similar areas under licence has been subjected to rigorous quality control.,0.8
unlicensed manufacturers,trades_with,market,1,In some markets the produce of unlicensed manufacture has ousted the product of licensed manufacture as the cost of the former is cheaper by Re. -/ 2/- per maund due to non-payment of cess.,0.7
salt department,licenses,small scale manufacturers,1,The Salt Department in the year 1949 under an executive order began to license some of these small scale manufacturers in places where their aggregate or contiguous area of manufacture exceeded 10 acres.,0.8
kakrapalli swamp,supplies,soda ash factory,1,"The Salt Department contemplated to develop a large size, factory at this site supplying salt to soda ash factory which was at one time proposed to be started at Sindri (Bihar).",0.8
vedaranyam swamp,supplies,salt,1,"If properly utilised the Vedaranyam swamp is a promising, source of supply of salt...",0.8
government,governs,vedaranyam,1,if it was considered by the Government to develop this swamp under its auspices.,0.8
salt department,governs,salt industry in southern parts of the country,1,The Salt Department in Madras laid great stress on the quality of salt produced at different factories until the year 1929.,0.8
the salt officers,regulates,the production of the manufacturers,1,The Salt Officers were required to see that 'the production of the manufacturers coriformed to the standard.,0.9
salt,administers,department,1,With effect from 1st April 1924 a separate Salt Department was created with a Collector at its head...,0.8
salt controller for india,administers,salt department,1,"The administration of the Salt Department was taken over by the Salt Controller for India at New Delhi, and he was assisted by 3 Deputy Salt Controllers one at Bombay, one at Madras and one at Headquarters.",0.9
inspector,administers,factory,1,An Inspector is the lowest executive staff in a factory and below him are only class IV staff which comprises of two categories Petty officers and Peons.,0.8
mandi raja,governs,mandi state,1,The Mandi salt is hard and massive in character and requires continuous blasting operations.,0.8
mandi,administers,salt quarries,1,"Prior to 1871 the whole revenue realised from the sale of salt at the quarries situated in the Mandi State was received by the Raja, whose property they were.",0.8
british government,governs,india,1,The British Government issued orders in 1884 reducing the duty from 10 to 6 annas a maund.,0.85
mandi,controls,salt mines,1,The two Mandi salt mines are situated in the Himalayan State of Mandi...,0.9
the tunnels,depends_on,the monsoon,1,huge slips took place which completely buried the mouths and it was not possible to inspect the inside conditions for 3 to 4 months during the monsoon.,0.9
maigal salt source,extracts_from,salt,1,"The salt mined from this mine contains about 80% sodium chloride and averages about 40,000 maunds annually.",0.8
himachal pradesh authorities,regulates,distribution of salt,1,"The Klandi State, and later on, the Himachal Pradesh authorities regulated the distribution of salt by opening their own depots in various markets.",0.9
salt,trades_with,people,1,Thousands of people — men and women — with bamboo baskets tied to their backs bringing products of their land for sale in the town.,0.8
guma mine,extracts_from,katrain,1,"All issues from Katrain, 67 miles",0.8
every villager,depends_on,salt,1,Every villager who went to the mines to purchase salt was called upon to work there for a day.,0.8
government,governs,the mandi salt mines,1,The Government have also sanctioned appropriate establishment for the running and maintenance of these machines.,0.9
government of india,controls,salt mines,1,The Salt Mines were transferred to the Government of India on 1st April 1950.,0.9
mandi rock salt,supplies,refined salt,1,The brine is thus fit for direct treatment for manufacture of refined salt.,0.8
punjab government,licenses,hydro-electric power station,1,and it could be used to work thermo-compressors which would evaporate the brine into a thick slurry of pure salt...,0.7
thermo-compression method,extracts_from,brine,1,"...to evaporate the brine into a thick slurry of pure salt which when passed through centrifugal driers, would result in yielding a clean, dry and pure product.",0.9
punjab government,regulates,hydro-electric power station,1,...it could be used to work thermo-compressors which would evaporate the brine into a thick slurry of pure salt...,0.7
mandi rock salt refinery,trades_with,railway,1,...which the Railway would provide within the factory premises by means of siding.,0.6
salt,supplies,chemical industries,1,Salt being the base of so many chemical industries...,0.8
mandi refinery,trades_with,people in northern india,1,...will more than compensate for the loss by supplying exceptionally pure quality salt to them...,0.7
government,supplies,contractors,1,the pots required being supplied to the contractors by Government.,0.8
government of bengal,administers,salt producing zone,1,In fact the then Government of Bengal adduced that view as would be evident from the following extract...,0.8
government,governs,salt,1,The fact that the Government is precluded from deriving profit from the purchase and sale of salt...,0.9
bengal,governs,orissa coast,1,By 1880 the industry became extinct in Bengal and lingered uncared for only on the distant coast of Orissa.,0.8
madras salt department,administers,orissa salt factories,1,The Salt administration in Orissa was consequently transferred to the Salt Department of Madras.,0.9
bengal board of revenue,regulates,salt department in orissa,1,"The administration of the Salt Department in Orissa was retransferred to the Bengal Board of Revenue on 1st October, 1897.",0.8
orissa,depends_on,bengal officers,1,Pandit Gopabandhu Das observed that the Bengal officers did not like the continuance of the industry in an extreme and by no means attractive corner of the province.,0.7
east coast railway,connects_to,madras salt,1,The opening'of  the East Coast Railway greatly increased thp facilities for the importation of Madras salt...,0.9
madras salt,trades_with,kurkutch salt,1,"The wholesale price of salt in Orissa during the month of December 1924, was, however, Rs.",0.7
chiika,connects_to,irrigation,1,"In consequence, the most shallow form of irrigation was resorted to in the Chiika...",0.9
brine,extracts_from,crystallizing beds,1,The brine which was admitted into the crystallizing beds was only the amount which was sufficient to cover the ground...,0.8
"director of industries, bihar and orissa",regulates,manufacture of salt,1,"The Director of Industries, Bihar and Orissa, in his Report for 1920-21 said ‘the northern limit of this (Kurkutch) process of manufacture is the Chiika lake itself...’",0.9
centra government,administers,lands under salt cultivation,1,The lands under salt cultivation in this district belong to the Centra Government and have been leased to different lessees...,0.8
orissa,depends_on,calcutta salt sources,1,"since 1950, supplies from Calcutta under the Zonal scheme had been suspended",0.8
orissa government,administers,salt production,1,was formed to examine the question of both increasing production and improving the quality of salt.,0.9
preventive office,controls,salt manufacture,1,"In accordance with this agreement, the preventive office stopped from interfering with the manufacture of salt by villagers in saliferous areas or its sale by them in neighbouring markets or bazaars.",0.8
the salt commissioner for india,administers,salt work in the state on behalf of the salt commissioner for india,1,172 salt work in tlie State on behalf of the Salt Commissioner' for India stationed at Delhi.,0.9
revenue excise commissioner of orissa,controls,"salt in the three coastal districts of balasore, cuttack and puri",1,He had under him Superintendents in charge of districts with necessary subordinate staff.,0.8
shakambari devi,supplies,milk,1,"who about 551 A in return for milk supplied by one of their cows to a religious ascetic, converted a forest into a wist plain of precious metals.",0.9
british government,administers,system of salt revenue,1,"The essence of the salt revenue, administration system prevailing from 1820 to 1870 was the levy of duty on salt imported into British territory and the suppression of manufacture, of salt within that territory.",0.9
inland customs line,connects_to,british territory,1,The great Inland Customs Line existed for this purpose.,0.8
torbek,connects_to,indus,1,"The great Customs Line was 2,500 miles long and stretched from Torbek on the Indus to Mahanadi in the then Sambalpur district of the old Central Provinces (now in Orissa) and was guarded by an army of 1.3,000 officers and men.",0.9
mahanadi,connects_to,sambalpur district,1,"The great Customs Line was 2,500 miles long and stretched from Torbek on the Indus to Mahanadi in the then Sambalpur district of the old Central Provinces (now in Orissa) and was guarded by an army of 1.3,000 officers and men.",0.9
central provinces,connects_to,orissa,1,"The great Customs Line was 2,500 miles long and stretched from Torbek on the Indus to Mahanadi in the then Sambalpur district of the old Central Provinces (now in Orissa) and was guarded by an army of 1.3,000 officers and men.",0.9
rajasthan government,supplies,royalties,1,Payments are now made to the Rajasthan Government.,0.8
sambhar lake,depends_on,rain and drainage of the surrounding country,1,The Sambhar Lake is annually replenished by rain and the drainage of the surrounding country.,0.8
sambhar lake,depends_on,water from the sweet water zone,1,He also believed that the supply of subterranean brine is dependent on the access of water from the sweet water zone all around the lake.,0.8
ratan-'ka-talad,connects_to,lake,1,"oil' the southern- shore near the Mata Pahar, and between Nawa and Gudha, on the northern, and nearly opposite the Ivlata, the lake water did not dry up until all the shallows had dried up and little remained.",0.9
brine,extracts_from,lake bed,1,"When the brine of the lake reached a high specific gravity and began to recede towards the centre, it was enclosed within sections of the lake bed by means of rough retaining walls U- feet to 2 feet in height, built of double lines of stake lined with grass.",0.9
brine,supplies,fresh supplies of brine,1,'Fresh supplies of brine too were admitted.',0.8
kul brine,supplies,pan salt,1,"The manufacture of pan salt from Kul brine was again tried under Mr! Halsey, the then Commissioner’s orders, and some good saleable salt was made.",0.8
gudha kyar,depends_on,brine,1,"The day silt of the lake bed thoroughly lubricated with brine proved an impossible material to construct the dam with, except close in shore on both sides...",0.9
sulzer,supplies,"pumps, impellers, guide vanes, and gearing",1,The Jhapog pump impellers and guide vanes and gearing were made by Sulzers...,0.9
samhlnir canal,depends_on,schist rock,1,To get the best out of these they must be taken down as far as possible to the underlying schist rock where it is near enough to the surface.,0.8
sambhar salt settlement,supplies,piped water supply,1,"The Sambhar salt settlement was provided with a piped water supply to all bungalows and quarters except those near the station, fed from an 18,000 gallons ferroconcrete water tank located on the tower on Sambhar hill.",0.9
sambhar hill tank,supplies,water columns,1,Further water columns were erected near the Power House for hotli metre-gauge and 2 foot gauge the whole being fed from the Sambhar hill tank.,0.8
sambhar hill tank,supplies,gudha well,1,At Gudha a pipe line connects a water column in the kyar with the well on Gudha hill.,0.8
"deodani, gudha, and jhapog kyars",depends_on,local storage,1,"Originally Deodani, Gudha and Jhapog kyars were all worked on the system of local storage.",0.8
"deodani, gudha, and jhapog kyars",regulates,salt transport,1,"In each there was a central stacking space the full length of the kyar 180 feet wide, flanked by evaporating-pans extending 600 feet on either side, and served by a double siding throughout its length.",0.8
central store,depends_on,salt,1,"The storage allows salt slopes of 1 to 1 storage up to ten feet from, the edge of the platform...",0.9
gudha transport and storage scheme,connects_to,two permanent main lines along the edges of the pans,1,"The Gudha transport and storage scheme, like the New Kyar, is on the two foot gauge system, with two permanent main lines along the edges of the pans...",0.85
sambhar,connects_to,western railway metre-gauge track,1,The Main Line Kyars which run parallel to the Western Railway metre-gauge track which connects Sambhar with Gudha.,0.8
sambhar,controls,brine,1,At these works the recurring difficulty of brine shortage was met by the construction in 1870 of a coffer dam of mud enclosed between grass and stakes to hold up the brine...,0.9
british government,regulates,places for salt storage,1,The first step taken by the British Government was to reduce the places to ...,0.8
sambhar kyar salt,trades_with,bengal,1,owing to the fact that its colour is not particularly good.,0.8
government of india,regulates,"treaty payments and royalties charged to “manufacture” on fixing the cost price of salt in the sam,bhar lake division",1,"the Government of India's decision that the amount to, be taken into consideration from the Treaty payments and royalties charged to “Manufacture” on fixing the cost price of salt in the Sam,bhar Lake Division should be rupees three plus the actual royalty paid on the sales of the preceding year",0.8
commissioner,regulates,daily clearance of wagons,1,provided that the total number of indents received did not raise the daily total of clearance above 125 wagons or such higher number of wagons as the Commissioner in special circumstances determined.,0.8
the salt merchants' association ltd.,trades_with,salt,1,"The Sambhar registered traders, from all the three lists referred to above, grouped themselves into the four under-mentioned limited concerns in January, 1944. Sambhar. The Salt Merchants' Association Ltd.",0.8
the shakambar salt traders' association ltd.,trades_with,salt,1,"The registered traders of Sambhar, from all the three lists referred to above, grouped themselves into the four under-mentioned limited concerns in January, 1944. Sambhar. The Shakambar Salt Traders' Association Ltd.",0.8
