Source,Relation,Target,Weight
book,HIGHLIGHT,geographical and historical specificity of the western himalayas,1
book,ARGUE,colonialism in the western himalayas as not possible to understand merely as a sub-set of colonialism in india,1
western himalayas,REPRESENT,border region between india and china,1
book,ARGUE,alternative way of studying colonialism and modern indian history,1
contemporary historians,STUDY,colonialism as pan-indian phenomenon,1
india,BE_CONSTITUTED_AS,country and nation during the course of colonial rule and in opposition to it,1
agricultural communities,BE_ACCEPTED_AS,representative and normative of india,1
kashmir,STRETCH_FROM,mountains of burma,1
western himalayas,BE_PART_OF,historical processes of the indian sub-continent,1
indian nation,INTEGRATION_INTO,colonial rule,1
himalayan region,STUDY_AS_PART_OF,indian sub-continent,1
tibetan plateau,IMBIBE_FEATURES_FROM,western himalayas,1
caste,BE_USED_TO_UNDERSTAND,social formation of the region,1
nineteenth century british writers,REFER_TO_AS_CASTE,social division in the western himalayas,1
simla states,EXIST_HIERARCHY_OF_SOCIAL_STATUS_IN,western himalayas,1
brahmins and rajputs (kshatriyas),CONSIST_OF_UPPER_CLASS,social status in the western himalayas,1
artisan elements,FORM_LOWER_STRATA_OF,population of these parts,1
western himalayas,HAVE_SOCIAL_DIVISIONS_LIKE,the plains,1
gerald d. berreman,STATEMENT,there can be no doubt that we are dealing with a caste society,1
berreman,AUTHOR,"hindus of the himalayas, delhi, 1997",1
caste society,DESCRIPTION,a caste society,1
himalayan brahmins,SIMILARITY,village menials,1
family and marriage ceremonies,DESCRIPTION,do not differ much between the himalayan brahmins and the village menials,1
western himalayas,SETTING,social formation,1
caste,CATEGORY,social organisation,1
caste institution,QUALIFICATION,flexibility,1
purity,RELEVANCE,marker of caste distinction,1
western himalayan social organisation,DESCRIPTION,adherence to the category of caste,1
himalayan peasants,SOCIAL_ORGANISATION,caste,1
gangetic plain,COMPARISON,social structure,1
researcher,WARNING,possibility of a different social structure,1
western himalayas,BE PART OF,historical processes of the indian sub-continent,1
himalayan region,INTEGRATE INTO,indian nation,1
social features,BE MARKERS OF,successful integration,1
western himalayas,DIFFER FROM,plains of north india,1
british rule,SETTLE IN,local habitations,1
colonial empire,MERGE WITH,western himalayas,1
rebellions,BE A CENTRAL FEATURE OF,local polity,1
praja mandal movement,EMERGE IN,1930s-40s,1
british rule,NOT DISRUPT,local processes,1
british rule,NOT DESTROY,"local structures of economic, social and political power",1
narrative method,ADOPTED,in an attempt to draw readers into the world of the himalayan peasant,1
himalayan peasant,UNDERSTAND,the nature of contact between the himalayan peasant and british rule,1
colonialism,EXEMPLIFY,in this region,1
physical world,DIFFERENT FROM,that of the riparian plains,1
himalayas,FREEZE IN TIME,the transition from lineage to state,1
romila thapar,DESCRIBE,the north indian plains,1
social formation,IN A STATE OF FLUX,defined by a constant struggle between structures and agents,1
colonial state,ENTER AND TAKE CONTROL,of this historical stage,1
british rule,PROVIDE THE ENABLING CONDITIONS FOR THE SOCIAL AND POLITICAL INTEGRATION,with the emergent indian nation,1
hill states,STABILISATION OF POLITICAL RELATIONS WITH,through the sanads,1
sanads,INTRODUCTION OF MONEY AND MARKETS,establishment of the european 'hill stations',1
european 'hill stations',SETTLEMENT OF AGRICULTURAL LAND AND FORESTS,the second category of enabling conditions,1
schools and courts,OPENING UP OF COMMUNICATIONS,"first with roads and then with newspapers, telegraphs, phones and railways",1
people from other parts of the british indian raj,INCREASED TRAVEL TO AND EXTENDED RESIDENCE IN,the western himalayas,1
western himalayas,IMPORTANCE_TO,the political takeover of punjab,1
western himalayas,PROVIDE_PASSAGES_TO,china and russia,1
british officials,BUILD_HOUSES_IN,the western himalayas,1
simla,BECOME_SUMMER_SEAT_OF,the british indian government,1
british rule,IMPACT_ON_REGION,the western himalayas,1
colonial history,COLOUR_NATURE_OF,british rule in the western himalayas,1
conquest of western himalayas,REASON_FOR,'extraneous' reasons,1
british rule,INITIATE_UNPRECEDENTED_CHANGES,the region's economy and political structure,1
rebellions,PRIMARY_MEANS_OF,himalayan peasants greeting changes in their life,1
peasant rebellions,MAIN_FEATURES_OF,trying to identify the main features of peasant rebellions in the western himalayas,1
himalayan hill states,CHANGING_RELATION_WITH,the british under pressure of rebellions,1
reform of himalayan family,PRIMARY_ROUTE_FOR_INTEGRATION,with the specific indian society that was emerging under colonialism,1
social reforms,STUDY_PATTERN_OF,"marriage reforms, literacy, occupational structure, and popular theophany",1
independence movement,MOMENT_OF_FINAL_INTEGRATION_WITH,india,1
himachal pradesh,FORMATION,indian nation,1
region's dominant social groups,PARTNERS,indian nation,1
british rule,INTEGRATION,regions' people with the indian nation,1
market,EXTENSION,the regions' people,1
social reforms,SUCCESS,the regions' people with the indian nation,1
praja mandal movements,SUCCESS,the regions' people with the indian nation,1
himalayan proprietary peasant,ENTRY,arena of the indian nation,1
western himalayas,LEFT OUT,himachal pradesh due to politics within the praja mandal in the 1940s,1
the western himalayas,MANAGED TO WREST,some form of equality and autonomy for its dominant groups in the form of a separate state of uttaranchal,1
india,HAVE,knowledge of the himalayas,1
british,CONQUEST,western himalayas,1
india,REMAINED,perfunctory knowledge about the himalayas,1
western himalayas,BE,unique ecological niche of the south asian region,1
south asian region,HAVE,various social and economic processes,1
british rule,CONSOLIDATE,western himalayas,1
himalayas,EXHIBIT,land forms developed when earth strata are intensely folded,1
himalayas,LACK,intermontane plateaux and large sized basins,1
western himalayas,DIVIDE,into three zones,1
himalayas,NOT CUT THROUGH,by any river due to their altitude and youth,1
river sutlej,CUT THROUGH,form a valley,1
river sutlej,PROVIDE ACCESS,traders and others,1
simla,NEED BUILDING OF ROAD,to the borders of tibet,1
capt. singh,EDIT,india: a regional geography,1
gopal singh,WRITE,a geography of india,1
s.c.bose,WRITE,geography of the himalaya,1
joshi,WRITE,"geography of himachal pradesh, india",1
bose,WRITE,ibid.,1
briggs,REPORT ON,operations connected with the hindostan and thibet road,1
himalayas,PROVIDE BARRIER TO,her majesty's public works department in india,1
the western himalayas,CAN BE DIVIDED,into three main ranges,1
these three physiographic divisions,RUN,in a north-westerly to south-easterly direction,1
the outer himalayas or the shiwaliks,ARE,the southern zone,1
these ranges,RISE,in altitude from the plains to the tibetan plateau,1
the sutlej,CUTS,through the great himalayan range,1
these mountain ranges and the transverse ridges,FORM,the basins for all the rivers of the western himalayas,1
each valley,REMAINS,isolated from the other and feeds its waters to its main drainage channel,1
"g.c. barnes, commissioner and superintendent cis sutlej states",WROTE,about bushahr state (bussahir) in the sutlej valley when he went there for the first time in 1859,1
george francis white,PUBLISHED HIS TRAVELOGUE ALONG WITH PRINTS OF SKETCHES OF THE HIMALAYAS,in 1836,1
the hill villagers,BETRAYED,"on almost every subject unconnected with their own little community, being often unacquainted with the names, or even the existence, of villages a few days journey from their own",1
george francis white,VIEWS,india,1
himalaya mountains,CHIEFLY AMONG,the valleys,1
valleys,HAVE BEEN SETTLED BY MAN,and have emerged as distinct cultural areas,1
highland areas,REMAIN ONLY AS WATER GAPS,providing few possibilities for agriculture or other human activity,1
valleys,CAN BE DIVIDED INTO THREE CATEGORIES ON THE NATURE OF THEIR RELIEF FEATURES AND THEIR CAPABILITY OF SUSTAINING HUMAN SETTLEMENTS,three categories,1
first category of valleys,"ARE FOUND ONLY IN THE FOOTHILLS OF THE HIMALAYAS AND DO NOT STRICTLY COME INSIDE THE HIMALAYAN REGION, BUT ARE IMPORTANT SINCE THEY BORDER IT AND HAVE STRONG HISTORICAL LINKS WITH THE AREAS UNDER STUDY",the areas under study,1
second category of valleys,"ARE FOUND ALONG THE MIDDLE HIMALAYAS AND ARE STRICTLY LINEAR, WITH A REDUCED BREADTH AND RELATIVELY STEEP GRADIENTS OF THE HILLS WHICH ENCOMPASS THEM",the middle himalayas,1
third category of valleys,"ARE AROUND MINOR HILL TORRENTS MAKING CULS-DE-SAC WHERE SMALL AND ISOLATED POPULATIONS SURVIVE THROUGH INTENSIVE AGRICULTURE COMBINED WITH OTHER ECONOMIC ACTIVITIES LIKE PASTORALISM, TRADE, ETC.",intensive agriculture combined with other economic activities,1
valleys of the middle and inner himalayas,SHOW 'MASSIVE ROCKY OUTCROPS AND RUGGED PRECIPICES' WHILE THE VALLEYS THEMSELVES ARE 'DEEPLY INCISED',precipices,1
captain thomas skinner,"EXCURSIONS IN INDIA, INCLUDING A WALK OVER THE HIMALAYA MOUNTAINS",2 vols.,1
g.c. barnes,DESPAIR OF ENFORCING A LAND SETTLEMENT IN CASH,the area's physical and cultural isolation,1
the climate,BE,perfect,1
the british settlements,ORIGINATE,because,1
almost all,COME UP,on the top of the ridges in the middle himalayas,1
the region,LIE,in the same latitudes as the mediterranean climatic zone of west asia,1
the western himalayas,GET,its winter precipitation as a consequence of depressions originating there,1
the sutlej valley,BE,one of the more monetised of the regions of the western himalayas when the british arrived in 1815,1
the bhageerathi valley,BE,due to the large number of hindu pilgrims who went to gangotri for many centuries,1
altitude and aspect,NEED,to be taken into consideration when discussing climate at any given spot,1
the region's climatic pattern,BE MARKED BY,"the snowline, the limit of the glaciers, the limit of the monsoon, the relative altitude of the observer's position vis-à-vis the valley and the angle of the terrain towards the sun",1
simla,ALTITUDE,"2,000 metres",1
snow,HEIGHT,8 to 9 feet,1
weather pattern,CHANGE IN,the early nineteenth century till today,1
deforestation,FACTOR,of this change in weather pattern,1
altitudinal and topographical variations,MODIFY,all extra regional influences,1
mountainous type of climate,GENERATE,more appropriately,1
grasslands,FOUND IN,this intermediate area,1
western himalayas,EXPERIENCE,monsoon rainfall,1
rainfall,DECREASE,from the east towards the west,1
shiwaliks,LOCATION OF,the greatest rain,1
lesser himalayas and great himalayas,SOUTH AND EAST FACING SLOPES OF,the main ranges,1
monsoon clouds,HIT,these hills and large quantities of cloud gather there,1
great himalayan range,BARRIER TO,the monsoon,1
certain places,MOUNTAIN TOPOGRAPHY IS SUCH THAT,"clouds get trapped and thus, these places get quantitatively more rain than neighbouring areas in the vicinity",1
valleys,WINTER DAY NOT LONGER THAN A FEW FLEETING HOURS,in which it would not be uncommon to find snow,1
hill slope,HIGHER ALTITUDE ONE MAY NEVER ENCOUNTER SNOW,at,1
shiwaliks and middle himalayas,MORE RAIN AND LESS SNOW DUE TO MORE SUN ON THE SLOPES THAT FACE THE SOUTH,in which there is usually,1
south facing slopes,THE SNOW STAYS LONGER IN,since the winter sun hardens it and makes it more resistant to thawing,1
a place,RELATIVE POSITION VIS-À-VIS THE VALLEY AND THE RIDGE OR MOUNTAIN PEAK,one also needs to take account of its,1
gravity winds,"SPECIFIC TO EACH VALLEY AND, KEEPING ALL OTHER FACTORS IN MIND, IT MAY BE SAID THAT","local site factors such as the location of ridges and valleys, the direction of the spur and even the shape of the mountain folds all contribute to the formation of the climate of any given spot in the western himalayas",1
jakhu,GETS,much heavier snow,1
town of simla,PROPER,town,1
villages in the valley below,NEVER EVER GET,snow,1
region's soils,ARE,young and thin,1
region's soils,ARE,unstable,1
british administrators,DIVIDED,the region's soils into three main categories,1
three categories,WERE,"kiar, bakhal, and karali",1
kiar,WAS,the most fertile and well-irrigated land,1
bakhal,WAS,land near the homestead,1
karali,WAS,land that was either newly reclaimed waste or old soil which lay at some distance from the village,1
soil of the himalayan foothills,IS,embedded with stones,1
mid and high hill soil,CONSISTS,silty or clay loam,1
areas beyond the great himalayan range,HAS,'high texture' variety and low in organic content,1
gazetteer of the simla hill states,WAS REPRINTED AS,"new delhi, 1995",1
before the coming of the british,HAD,the greatest forests of the south asian subcontinent,1
forests,WERE,inaccessible to those who carried out the extensive forest clearing for settled agriculture during the iron age,1
natural vegetation of the region,VARIED,with the climatic zone,1
slopes along the big rivers and at the higher end of the mountains,WERE,covered with trees of various types,1
the trees of the western himalayas,CAN BE CLASSIFIED INTO,two broad categories,1
deciduous forests,ARE A TYPE OF,forests,1
coniferous forests,ARE A TYPE OF,forests,1
the local population,USE AS,"fuel wood, building material for houses, tools and implements",1
the trees,PROVIDE,leaves for grazing the cattle and herds of sheep and goats,1
h. cleghorn,WROTE A REPORT ABOUT,the forests of the punjab and the western himalaya,1
lieut. george francis white,WROTE AN OPUS ABOUT,the local implements for cutting trees and working on wood,1
the british,USE AS A SOURCE OF,timber for commercial forestry,1
broad leaf trees,MAINLY CONSIST OF,"oak, sal, walnut, maple, horse chestnut, etc.",1
oak,COULD NOT FLOAT IN WATER AND THUS HAD NO,commercial value,1
the trees of the deciduous type,WERE CRUCIAL TO THE LIVELIHOOD OF,the people,1
the conifers,ARE THE PREFERRED TYPE FOR,the forest department,1
pines and deodars,ARE USED TRADITIONALLY BY,the hillmen to build houses and other structures,1
the forests,PROVIDED ESSENTIAL GRAZING TO,"the cattle, which had to stay close to the homestead for purposes of agriculture and milk",1
many plants,WERE FOUND IN,the himalayas,1
some plants,WERE DOMESTICATED BY,the peasants for purposes of agriculture and human consumption,1
"fruits like apple, apricot, mulberry, fig, pear, peach and green gage",GREW WILD AND WERE KNOWN AS EDIBLE,to the people,1
"strawberry, raspberry, currant and gooseberry",WERE EATEN BY,the people,1
western himalayas,HAD HUMAN INHABITATION SINCE AROUND LATE STONE AGE,implement,1
shiwalik foothills,FOUND IMPLEMENTS OF WHICH PERIOD,period,1
river valleys and hills,FOUND IMPLEMENTS OF WHICH PERIOD,period,1
hill state,DEVELOPED FROM TRADE IN LARGE RIVER VALLEYS,basis,1
hillmen,ENGAGED WITH THEIR ENVIRONMENT,geographical imperatives,1
western himalayas,HAD NO ONE ENVIRONMENTAL CONTEXT,people,1
stable human settlement,GEAR ITSELF TOWARDS ECONOMIC ACTIVITIES,"at least two, and often, three ecological-climatic zones",1
british rule,TRANSFORMED HISTORICAL SOCIAL FORMATIONS,nuances of transformations,1
travelogues,COMMENT ON SPREAD OF FRUIT AND VEGETABLE CULTIVATION,market in the british hill stations,1
james baillie fraser,INTRODUCED POTATO INTO THE HILLS,1815,1
thomas skinner,"OP.CIT. VOL 1, PG. 14",reference,1
one,SHOULD ALWAYS BE CAREFUL ABOUT,british figures,1
the first estimates of the population,WAS MADE,right at the time of granting ‘sanads’,1
bhajji hill state,IS RECORDED AS HAVING A POPULATION,"9,001 with an area of 96 square miles",1
bhajji hill state,REMAINS,"9,000 in the ‘sanad’ of 1815 and similarly in figures from the begar register of 1855",1
coldstream,IS RECORDED AS HAVING A POPULATION,"19,000 in the 1870s",1
bhajji hill state,IS RECORDED AS HAVING A POPULATION,"12,106 and then at the turn of the century in the 1901 census figures it is recorded as 13,309",1
denzil c.j. ibbetson,WROTE A REPORT ON THE CENSUS,"of the punjab taken on the 17th of february, 1881",1
w. coldstream,HAD PERSONAL PAPERS IN OIOC,manuscript history of the punjab hill states,1
capt. briggs,WROTE AN OP.CIT.,appendix b,1
"gazetteer of the simla hill states, 1910",PUBLISHED INFORMATION ABOUT,bhajji state,1
the population of the region,DID NOT SHOW MUCH CHANGE APART FROM A GRADUAL SECULAR INCREASE OVER,the entire period of british rule,1
sex ratio,IS AN IMPORTANT CLASSIFICATION TO BE AWARE OF,for the present,1
the density of population,GIVES AN INDICATION OF THE MAXIMUM HUMAN POPULATION THAT THE EXISTING TECHNOLOGY AND KNOWLEDGE COULD SUSTAIN IN AN ECONOMY WITH A NEGLIGIBLE MARKET,in an economy with a negligible market,1
the sex ratio has been historically low,IS FOUND IN,the entire punjab province and this phenomenon is also found in the western himalayas,1
female infanticide,WAS ADVANCED AS AN EXPLANATION FOR THE LOW SEX RATIO,among the ‘jut’ sikhs and among the hill rajpoots,1
sex ratio,BE,cause,1
polyandrous family,BE,origin,1
entire region,GROW,at any substantial rate,1
nineteenth century,HAVE,similar deficiencies,1
punjab hill states,HAVE,sex ratio for the entire region,1
table 1.1,SHOW,pubjab hill states (sex ratio),1
punjab hill states,HAVE,gradual but definite secular trend,1
western himalayas,HAVE,demographic pattern over the different climatic zones,1
human population,RISE,to the actual cultivated land,1
"punjab census, 1881",PROVIDE,figures,1
r.l.,WRITE,the geography of the western himalayas,1
land,SUSTAINS_POPULATION,population,1
social relations,CHANGES_QUALITATIVELY,production patterns,1
hill states,EMERGES_AND_DEVELOPS,altitudinal-climatic zones,1
human population,INCIDENCE_OF,cattle population,1
fertile valleys,SUPPORTS,agriculture,1
sub-himalaya and siwalik hills,SUPPORTS,pastoralism,1
outer himalayas,SUPPORTS,trade,1
community,SHARES_RESOURCES,labour,1
family,PARTICIPATES_IN,activities,1
population,CURTAILS,economic units,1
western himalayas,DIFFERS_FROM,plains family,1
family,USES,polyandry,1
kanet,POPULATION,"2,56,971",1
brahmin,POPULATION,"1,00,283",1
koli,AGRICULTURAL LABOUR,"85,227",1
chamar,AGRICULTURE LABOUR & MENIAL,"41,349",1
dagi,AGRICULTURE LABOUR & MENIAL,"32,682",1
dumna/dom,AGRICULTURE LABOUR & MENIAL,"25,916",1
gujar,MIGRATORY PASTORALISTS (MUSLIM),"17,445",1
bhat,CATEGORY OF HILL BRAMHIN,"13,318",1
julaha,MAINLY IN LOWER HILLS,"13,236",1
lohar,MENIAL ( SOME NAGAS),"11,902",1
gaddi,PASTORALISTS ON GREAT HIMALAYAN RANGE,"11,177",1
khatri,"MAINLY IN MANDI, CHAMBA, BILASPUR","7,788",1
tarkhan,MENIAL ( BOTH KHASH & NAGA),"6,469",1
kumhar,MENIAL (MAINLY NAGA),"5,783",1
thori/turi,"MENIAL , TEMPLE ATTENDANT (NAGA)","3,072",1
bohra,IMMIGRANT TRADER CASTE,"3,054",1
pujari,LOW PRIESTS (NAGA),"2,454",1
banya,LOWHILLS (85% NAHAN & CHAMBA),"2,081",1
chuhra,MENIAL,"1,896",1
settlements,ARE FOUND,in the lower hills and the valleys,1
homesteads,SHOULD NOT BE EXPOSED TO,high winds,1
homesteads,SHOULD NOT HAVE,landslips in the mountain slope overlooking,1
homesteads,SHOULD NOT BE TOO FAR FROM,a source of water which can be harnessed for irrigation,1
homesteads,SHOULD HAVE,land which can be terraced into cultivable strips,1
houses,ARE RARELY TOGETHER WITH,those of the upper ‘castes’,1
house plots,ARE SELECTED BASED ON,"parameters, by which house plots are selected",1
the situation,PROVIDES THE BEST LOCATION TO,keep a check on the crops and is also safe from floods,1
british settlements,COMPLETELY CHANGED,the pattern of settlements,1
agriculture,HAS HISTORICALLY BEEN,the most important component of the hill economy,1
many 'inferior' crops,WERE ALSO GROWN,at this time,1
tobacco and bhang,WERE SENT,to the plains and to tibet,1
pastoralism,WAS CENTRAL,to the sustenance of,1
the hill state,BUT ALSO,the individual polyandrous peasant family,1
cultivable land,WAS A SMALL PERCENTAGE,of the total land available,1
the entire region,HAD FACED,the brunt of commercial forestry for a century,1
large tracts of land,HAD BEEN MADE POTENTIALLY AVAILABLE,for cultivation due to,1
agriculture,OFTEN HAPPENS THAT OUT OF FOUR BROTHERS,one is engaged in,1
the state,REQUIRED TO GIVE SERVICE FOR SIX MONTHS IN A YEAR,a third was previously required,1
grass and forest undergrowth,WAS AVAILABLE AT ALL CLIMATIC ZONES,at various times of the year,1
the himalayan peasant,HAD TO CONTINUALLY MOVE,them from one climatic zone to another,1
the herds,WOULD BE MOVED INTO THE FOOTHILLS AND VALLEYS,during winter,1
the herds,WOULD BE TAKEN UP INTO THE HIGH MOUNTAINS AND MEADOWS,when the snow had melted there,1
the herds,WOULD MANURE THE CULTIVABLE LAND WITH THEIR DROPPINGS,as they moved up and down the mountains,1
nomadic pastoralists,TRAVELLED,shiwalik foothills,1
gaddis,MAINLY TRAVELLED,trans-himalayan regions,1
gujars,MOVED,lower and middle himalayas,1
state,HAD INTEREST IN,nomadic pastoral groups,1
nomadic pastoralists,PAID TAX,in cash and kind,1
pastoralism,CONVERTED,into an economic asset,1
trade,PROVIDED THE IMPETUS FOR,overcoming barriers to communication,1
river valleys,PROVIDED THE MOST NATURAL GAPS IN,the wall of mountains,1
the valley of this river,BECAME,the most important route,1
one single valley,COULD NOT SUSTAIN,entire trade and communication with the trans-himalayan region and tibet,1
travellers,HAD TO FIND,low points of the mountain chains that came to be called 'passes',1
places,BECAME,important junctions of routes on either side of the great himalayan range,1
settlements,CATERED TO,these passes,1
these river valleys,MADE POSSIBLE,the collaboration of people living in different climatic zones with each other and thus utilise their natural resources commonly,1
the river,PROVIDED,"flat lands along its banks and water for irrigation, and by providing routes for communication",1
mandi,BECAME,the focus of this trade,1
these states,USED THE TRADE NETWORK TO INTEGRATE,large tracts of agricultural and pastoral lands into a stable state system,1
the western himalayas,HAVE PROVIDED,two central components of hill life,1
these wooden bridges,WERE,single long pine trunks thrown across the water channel,1
the monsoon,WAS,active,1
travel,HAD TO BE TIMED,in accordance with the seasons,1
the great himalayan range,DIVIDED,the river valleys,1
many river valleys,NEVER BECAME IMPORTANT AS TRAVEL ROUTES,since they were difficult for mules or ponies to access,1
high mountains,DIVIDED,the river valleys and communication between them,1
these valleys,SHOULD ALSO BE REMEMBERED,as the basins of the respective rivers,1
the sutlej valley,HAD TO BE ACCESSED BY COMING DOWN TO BILASPUR IN THE SIWALIKS BEFORE ASCENDING UP TO KULLU,from rampur bashahr,1
travel routes specific to each river valley,DEVELOPED OVER TIME,each such route had its specific pass at the point where it met the great himalayan range,1
physical geography,CONSIDERS,interrelated aspects,1
himalayas,HAS,parallel mountain ranges,1
shiwaliks,HAS,sub-tropical climate,1
middle himalayas,HAS,temperate and alpine climate,1
regions beyond great himalayan range,HAVE,'cold desert' climate,1
himalayas,DEFINE,entire region,1
river valley,DEFINES,sub-regions,1
human settlements,DEVELOPED,in relative isolation,1
hill states,FORMED,stable village communities and territorial,1
western himalayas,HAS,river valleys,1
study,SHOULD FOCUS ON,distinct regions of river valleys,1
sutlej valley,HAS BEEN,one of the most important historical regions,1
yamuna and ganga valleys,HAVE FEATURES AS FOUND IN,religions pilgrims brought strong influences,1
himalayas,DOES NOT HAVE,unusual features as found in yamuna and ganga valleys,1
western himalayas,WILL BE CONFINED TO,study of sutlej valley for comparison,1
political economy of the western himalayas,STUDY,uniqueness of the western himalayan political economy,1
production,CONDITION,geography and demography,1
forms of labour,STUDY,various productive processes,1
begar labour,METHOD,surplus appropriation,1
rent-in-kind,METHOD,surplus appropriation,1
lineage based clans,POWER CENTRE,none,1
hill state,POWER CENTRE,none,1
production,INTENSIFICATION,demographic and geographic constraints,1
monetisation,EXCEPTIONAL MARGINALITY,economic and spatial,1
women,BEAR RESPONSIBILITY FOR,total domestic labour,1
women,DO LARGE PART OF,agricultural work,1
women,TAKE PART IN,sowing,1
women,TAKE PART IN,weeding,1
women,TAKE PART IN,harvesting,1
women,ALSO DO AT PLACES,ploughing,1
children,USED AS ADDITIONAL LABOUR DURING PERIODS OF INTENSIVE LABOUR,sowing and harvesting,1
children,USED FOR VARIOUS SUPPLEMENTARY ACTIVITIES,none,1
people,HAD TO BE FED AND LOOKED AFTER FROM THE TOTAL PRODUCE OF,the community's labour,1
"peasant rebellions, dumhs",RELATED TO,new revenue system imposed new burdens,1
population,NOT ENUMERATED OR ESTIMATED BEFORE THE ADVENT OF THE BRITISH,none,1
women,PERFORM ALL KINDS OF AGRICULTURAL LABOUR EXCEPT,sowing and ploughing,1
women,CONTINUED WORKING,family economy,1
high birth rate,AFFECTED HEALTH,labour,1
labour,REDUCED CAPACITY,infant nurturing,1
population between 10-55,MAIN LABOUR FORCE,none specified,1
sex ratio,WAS,872,1
kolis,WERE,agricultural labourers,1
settlements and gazetteers,PUT THEM,"1/4, 1/5, 1/7 of their total population",1
