Source,Relation,Target,Weight
"medical, sheep and animal husbandry departments",NEW WORKING OPPORTUNITIES,in physical infrastructure,1
physical infrastructure,INCLUDED,roads and buildings,1
tourism industry,AFFECTED,by immigration,1
rupshu households,KEPT,large herds of livestock,1
india,HAD A LOW VALUE FOR CASHMERE,as the bulk of high-quality fibre came from western tibet in china,1
jammu and kashmir state government,PROMOTED,cashmere production,1
market changes,REDUCED DEMAND,for sheep wool from the himalayan foothills,1
pastoralists,PREFERRED,cashmere goats over sheep,1
households,HAD,average livestock holdings per household,1
tibetan refugees,BROUGHT WITH THEM,livestock from their holdings,1
government cashmere development programmes,ADDED TO,total livestock numbers,1
winter pastures,BECAME UNAVAILABLE FOR GRAZING,due to the loss of extensive winter pastures,1
samad and korzok groups,"CONFINED TO THEIR EARLIER, NON-WINTER PASTURES",for year-round use,1
samad group,GRAZING INTENSITY,winter,1
korzok (including refugees),GRAZING PRESSURE,increase by 25%,1
samad group,GRAZING PRESSURE,almost four times increase,1
korzok group,GRAZING PRESSURE,tripled,1
tso kar basin,USED AS,summer pasture,1
samad pastoralists,USE,seasonal grazing units,1
nomads and tibetan refugees,USE,29 camp sites within tso kar basin,1
summer pastures,GRAZED,215 days per year,1
pastures,UTILISED,intensified utilisation,1
eastern sub-area,INCLUDES,moist sedge meadows,1
freshwater lake (tsatapuk tso),LOCATION,emergency grazing area,1
argali and livestock,OVERLAP,space use,1
argali,RANGE,areas used by livestock in winter,1
wolves (canis lupus),PREDATION RISK,argali,1
pastoralists,EMPLOYMENT OPTIONS,indian army,1
pastoralists,ALTERNATIVE JOBS,education and interactions with outsiders,1
government,INITIATIVE,develop changthang for cashmere production,1
kashmiri weavers,FOCUS,changthang,1
pastoralists,CHANGE,livestock composition,1
goats,IMPACT,pastures,1
herders,COMPLAINTS,pasture degradation,1
kiang (equus kiang),HABITATS,wild herbivores,1
nomadic pastoralists,SEDENTARIZATION,aid and facilities,1
government,PROVIDES,subsidy,1
pastoralists,NEAR,table 2,1
argali,SEASONAL RANGE USE,livestock groups,1
50% volume contours,REPRESENT,intensity of usage,1
summer,USAGE,areas,1
winter,USAGE,areas,1
argali,SUMMER VS,livestock winter,1
tso kar basin,LOCATION,"eastern ladakh, india",1
singh et al.,RESEARCH,changthang,1
nomadic pastoral groups,HAVE,fixed village space,1
herders,CULTIVATE,barley,1
cashmere,MOST IMPORTANT PRODUCT OF HIGH ECONOMIC VALUE,ladakh region,1
pastoralists,NEED,migratory strategy,1
overall development,PROMPTING,pastoralists to migrate to towns,1
rangelands,EXPERIENCES,problems of resource depletion and pasture degradation,1
overgrazing,INCLUDE,"reduced plant cover, modification of plant species composition, increased erosion and decreased water infiltration",1
overgrazing,MAY ALSO ACCELERATE,plant succession towards less palatable plant communities,1
pastoralists,INDICATED,inadequate precipitation in recent decades and increasing competition from wild herbivores,1
rupshu pastoralists,COMPLAIN OF,wild herbivores such as kiangs (equus kiang) and marmots (marmota himalayana) as the main competitors for pasture resources,1
water sources near settlements,CREATES NOVEL CONFLICTS WITH,local and sensitive wildlife,1
tso kar and tso moriri,ARE PROPOSED AS,protected areas within the ‘changthang wildlife sanctuary’,1
pastoralists,ARE BECOMING INCREASINGLY INTOLERANT OF,wild herbivores,1
kiangs,ARE BEING DRIVEN AWAY FROM,pastures,1
the tibetan gazelle (procapra picticaudata),BECAME LOCALLY EXTINCT DURING THE 1980S DUE TO,hunting pressure,1
wolves (canis lupus chanco) and snow leopards (panthera uncia),ARE INCREASINGLY PREYING ON,domestic livestock,1
herding dogs,ARE OBSERVED TO CHASE AND KILL,lambs and juveniles of wild herbivores,1
dog numbers,ALSO SEEM TO BE INCREASING ALONG WITH THE INCREASE IN,herding families,1
"snow leopard trust, usa (slt)",AND LOCAL HERDERS RUN A VILLAGE-BASED INSURANCE PROGRAMME FOR,"valuable large livestock such as yaks, cattle and horses",1
the basis of the programme is to,REDUCE THE LIVESTOCK LOSS THROUGH BETTER HERDING AND TO INCREASE POPULATIONS OF,wild prey for snow leopards and wolves,1
a local insurance committee,"COLLECTS PREMIUMS FROM THE HERDERS, BASED ON LOCALLY SET VALUES (E.G.",there are additional annual contributions from the slt-ncf,1
the programme has now been replicated in four village clusters,"INSURING OVER 500 ANIMALS WITH A VALUE OF APPROXIMATELY US$ 100,000",in spiti and ladakh,1
as part of the programme,THE HERDERS HAVE ALSO AGREED TO SET ASIDE GRAZING AREAS FOR,the wild prey species,1
the villager receives a fee that is based on the fair market rent for,"GRAZING LAND IN THE AREA, WHICH HAS INCREASED OVER THREEFOLD IN FIVE YEARS DUE TO ONE SUCH RESERVE, WHICH IS LIKELY TO REDUCE THE SNOW LEOPARD'S DEPENDENCE ON",domestic livestock,1
india,LOCATED_IN,asia,1
jammu and kashmir state,PART_OF,india,1
trans-himalayan high-altitude rangelands,LOCATED_IN,india,1
pastoralist groups,EXIST_WITHIN,jammu and kashmir state,1
individual families,EXIST_WITHIN,jammu and kashmir state,1
individuals,EXIST_WITHIN,jammu and kashmir state,1
decades,TIME_SCALE_OF,changes,1
years,TIME_SCALE_OF,changes,1
seasons,TIME_SCALE_OF,changes,1
singh et al.,PUBLISHED_BY,"pastoralism: research, policy and practice 2013",1
india and china,INVOLVED_IN,international relations,1
national development policies,AFFECTED_BY,changes,1
internal conflicts,CAUSED_CHANGE,pastoralist groups,1
livestock,AFFECTED_BY,changes,1
pasture use,AFFECTED_BY,changes,1
wildlife,AFFECTED_BY,changes,1
traditional pastoralism,SHIFTED_TO,sedentarization,1
nomadic and low-intensity exploitation,CHANGED_TO,sedentarization,1
government's developmental interventions,CAUSED_CHANGE,social and economic changes for the pastoralists,1
division of wealth and families,CAUSED_BY,social and economic changes for the pastoralists,1
emigration to urban areas,CAUSED_BY,social and economic changes for the pastoralists,1
increased market production of cashmere,CAUSED_BY,social and economic changes for the pastoralists,1
village heads (goba),BECAME_INSIGNIFICANT_AS,timing and movement patterns of the pastoralists,1
pastoralist society,TRANSFORMED_BY,changes,1
rupshu way of life,TRANSFORMED_BY,changes,1
increased standard of living,REQUIRED,fewer pastoralists,1
alternate livelihood options,MAY_BRING_ABOUT,fewer pastoralists,1
young people abandoning a pastoralist way of life,MAY_BRING_ABOUT,fewer pastoralists,1
irrigated fodder fields,PROMOTE,pasture use in previously uncultivated areas,1
water wells,PROMOTE,pasture use in previously little-used rangelands,1
better veterinary care for livestock,PROMOTE,higher than traditional livestock densities,1
climate change,MAY_NEGATIVELY_AFFECT,vegetation primary production,1
rupshus,CHANGE,pastoralist life,1
rangeland exploitation and sustainability,EFFECT,changes to the pastoralist life,1
development of frameworks,URGENCY,decision making,1
authors' contributions,DESIGN,study,1
"njs, ngy, yvb, jf and nl",AUTHOR,manuscript,1
rufford foundation for nature conservation (uk) and the university of tromsø,SUPPORT,fieldwork,1
research council of norway,FINANCIAL ASSISTANCE,fieldwork,1
"departments of wildlife protection and sheep husbandry, jammu and kashmir, india",PERMISSION,conduct the fieldwork,1
"milner-gulland, roy behnke, manju sharma and two anonymous reviewers",COMMENT,manuscript,1
"1department of arctic and marine biology, faculty of biosciences, fisheries and economics, university of tromsø, n-9037, tromsø, norway.",LOCATION,university of tromsø,1
"2nature conservation foundation, 3076–5, iv cross, gokulam park, mysore 570002, india.",LOCATION,"mysore, india",1
"3department of wildlife, fish, and environmental studies, faculty of forest sciences, swedish university of agricultural sciences, se-901 83, umea, sweden.",LOCATION,"umea, sweden",1
"4canada research chair in polar and boreal ecology, moncton university, nb e1a 3e9, moncton, canada.",LOCATION,"moncton, canada",1
c mishra,DECLINE,tibetan gazelle,1
yv bhatnagar,PERCEIVED CONFLICTS,pastoralism and conservation of the kiang equus kiang,1
c mishra,NOMADISM,indian changthang,1
pantholops hodgsoni,CONSERVATION,new rangeland management policies,1
mishra,RURAL-TO-URBAN MIGRATION,"leh, ladakh",1
c mishra,COMPETITION,domestic livestock and wild bharal (pseudois nayaur),1
t namgail,PASTORAL NOMADS,"indian changthang: production system, land use and socioeconomic changes",1
livestock,INTERACTION,ladakh urial (ovis vignei vignei),1
"singh, n.",THESIS,phd thesis,1
"xu, j, re grumbine, a shrestha, m eriksson, x yang, yun wang, and a wilkes",STUDY,"the melting himalayas: cascading effects of climate change on water, biodiversity, and livelihoods",1
